Microorganism,Culture_type,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,Metabolite_or_product
Aureobacterium sp. strain C961,Individual strain,Prochloraz,Experimental evidence,Soil,Germany,1996,,,,10.1007/s002530050680,
Aureobacterium sp. strain C962,Individual strain,Prochloraz,Experimental evidence,Soil,Germany,1996,,,,10.1007/s002530050680,
Azotobacter sp. DSM 6428,Individual strain,Prochloraz,Experimental evidence,Soil,Germany,1996,,,,10.1007/s002530050680,
Rhodococcus qingshengii YL-1,Individual strain,Buprofezin,Experimental evidence,Contaminated soil,China,2017,Dioxygenases,Rieske nonheme iron oxygenase,"RHO, bfzB, bfzC",10.1128/AEM.00868-17,"2-tert-butylimino-3-isopropyl-1,3,5-thiadiazinan-4-one (2-BI)"
Rhodococcus qingshengii YL-1,Individual strain,Buprofezin,Experimental evidence,Contaminated soil,China,2017,Oxidoreductases,Dehydrogenase,,10.1128/AEM.00868-17,"2-tert-butylimino-3-isopropyl-1,3,5-thiadiazinan-4-one (2-BI)"
Rhodococcus qingshengii YL-1,Individual strain,Buprofezin,Experimental evidence,Contaminated soil,China,2017,Dioxygenases,Aromatic ring-cleavage enzyme,,10.1128/AEM.00868-17,"2-tert-butylimino-3-isopropyl-1,3,5-thiadiazinan-4-one (2-BI)"
Pseudomonas sp. DFS35-4,Individual strain,Buprofezin,Experimental evidence,Contaminated soil,China,2011,,,,10.1007/s10532-011-9469-x,
Sphingobium sp. LY-6,Individual strain,Buprofezin,Experimental evidence,Contaminated soil,China,2015,,,,10.1007/s00449-015-1391-x,
Bacillus sp. strain BF-5,Individual strain,Buprofezin,Experimental evidence,Activated sludge,China,2016,,,,10.1016/j.jenvman.2016.04.061,
Rhodococcus sp. strain YL-1,Individual strain,Buprofezin,Experimental evidence,Contaminated soil,China,2012,Dioxygenases,"Catechol 2,3-dioxygenase",,10.1021/jf205185n,
Candida tropicalis strain W123,Individual strain,Prothioconazole,Experimental evidence,Activated sludge,China,2020,,,,10.1016/j.ecoenv.2020.111203,
Enterobacter cloacae strain Y2625,Individual strain,Prothioconazole,Experimental evidence,Activated sludge,China,2020,,,,10.1016/j.ecoenv.2020.111203,
Pseudomonas aeruginosa strain W313,Individual strain,Prothioconazole,Experimental evidence,Activated sludge,China,2020,,,,10.1016/j.ecoenv.2020.111203,
Hyphomicrobium sp. Strain DY-1,Individual strain,Trifloxystrobin,Experimental evidence,Collection strain,China,2021,Hydrolases,Esterase VII,strH,10.1128/AEM.00103-21.,Trifloxystrobin acid
Pseudomonas stutzeri smk,Individual strain,Clothianidin,Experimental evidence,Contaminated soil,India,2019,,,,10.1155/2019/4807913,
Acinetobacter johnsonii LXL_C1,Individual strain,Cyprodinil,Genomic evidence,Contaminated soil,China,2019,P450,Cytochrome P450 monooxygenase,"frmA, ADH5, adhC, catA",10.1016/j.micpath.2018.11.016,Cytochrome P450-associated transformation products
Pseudomonas sp.,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,1986,,,,10.1007/BF01606602,
Pseudomonas sp. IMBL 4.3,Individual strain,Phorate,Experimental evidence,Agriculture soil,India,2015,,,,10.1016/j.ecoenv.2015.07.007,
Pseudomonas sp. IMBL 5.1,Individual strain,Phorate,Experimental evidence,Agriculture soil,India,2015,,,,10.1016/j.ecoenv.2015.07.007,
Pseudomonas sp. IMBL 5.2,Individual strain,Phorate,Experimental evidence,Agriculture soil,India,2015,,,,10.1016/j.ecoenv.2015.07.007,
Rhizobium sp.,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2003,,,,10.1046/j.1472-765x.2003.01329.x,
Pseudomonas sp,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2003,,,,10.1046/j.1472-765x.2003.01329.x,
Proteus sp.,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2003,,,,10.1046/j.1472-765x.2003.01329.x,
Bacillus aerophilus IMBL 4.1,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2014,,,,10.1007/s11356-013-2155-2,
Brevibacterium frigoritolerans IMBL 2.1,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2014,,,,10.1007/s11356-013-2155-2,
Pseudomonas fulva IMBL 5.1,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2014,,,,10.1007/s11356-013-2155-2,
Ralstonia eutropha AAJ1,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2009,Phosphatases,Phosphomonoesterase,,10.1111/j.1472-765X.2009.02631.x,Phorate phosphoester-cleavage products
Ralstonia eutropha AAJ1,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2009,Phosphatases,Phosphodiesterase,,10.1111/j.1472-765X.2009.02631.x,Phorate phosphoester-cleavage products
Brevibacterium frigoritolerans IMBL 2.1,Individual strain,Phorate,Experimental evidence,Agriculture soil,India,2015,,,,10.1007/s00128-015-1617-2,
Brevibacterium frigoritolerans,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2018,,,,10.1016/j.ecoenv.2018.04.063,
Brevibacterium aerophilus,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2018,,,,10.1016/j.ecoenv.2018.04.063,
Brevibacterium fulva,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2018,,,,10.1016/j.ecoenv.2018.04.063,
Pseudomonas aeruginosa PR1,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2022,,,,10.1002/jobm.202100332,
Pseudomonas sp. PR_02,Individual strain,Phorate,Experimental evidence,Contaminated soil,India,2022,,,,10.1002/jobm.202100332,
Lysinibacillus boronitolerans,Individual strain,Boscalid,Experimental evidence,Contaminated soil,India,2023,,,,10.1016/j.envpol.2022.120484,
Peribacillus muralis,Individual strain,Boscalid,Experimental evidence,Contaminated soil,India,2023,,,,10.1016/j.envpol.2022.120484,
Bacillus simplex,Individual strain,Boscalid,Experimental evidence,Contaminated soil,India,2023,,,,10.1016/j.envpol.2022.120484,
Bacillus flexus strain XJU-4,Individual strain,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Hydrolases,Fenvalerate-hydrolyzing esterase,,10.1007/s13205-017-0957-5,
Bacillus flexus strain XJU-4,Individual strain,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Oxidoreductases,3-phenoxybenzaldehyde dehydrogenase,,10.1007/s13205-017-0957-5,
Bacillus flexus strain XJU-4,Individual strain,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Dioxygenases,3-phenoxybenzoate dioxygenase,,10.1007/s13205-017-0957-5,
Bacillus flexus strain XJU-4,Individual strain,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Monooxygenases,Phenol hydroxylase,,10.1007/s13205-017-0957-5,
Bacillus flexus strain XJU-4,Individual strain,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Dioxygenases,"Protocatechuate 2,3-dioxygenase",,10.1007/s13205-017-0957-5,
Bacillus flexus strain XJU-4,Individual strain,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Dioxygenases,"Catechol 2,3-dioxygenase",,10.1007/s13205-017-0957-5,
Stenotrophomonas sp. ZS-S-01,Individual strain,Fenvalerate,Experimental evidence,Agriculture soil,China,2011,,,,10.1007/s00253-010-3035-z,
Citrobacter freundii CD-9,Individual strain,Fenvalerate,Experimental evidence,Plant-sludge,China,2020,Hydrolases,Esterases,,10.1186/s13568-020-01128-x,"3-phenoxybenzaldehyde; butyl 1,2-phthalate; 3-chlorophenylacetic acid; 4-hydroxyphenylacetic acid"
Citrobacter freundii CD-9,Individual strain,Fenvalerate,Experimental evidence,Plant-sludge,China,2022,Hydrolases,Esterases,,10.1186/s13568-022-01392-z,
Citrobacter freundii CD-9,Individual strain,Fenvalerate,Experimental evidence,Plant-sludge,China,2022,Dioxygenases,Aromatic dioxygenases,,10.1186/s13568-022-01392-z,
Citrobacter freundii CD-9,Individual strain,Fenvalerate,Experimental evidence,Plant-sludge,China,2022,Oxidoreductases,Dehydrogenases,,10.1186/s13568-022-01392-z,
Acinetobacter sp. JN8,Individual strain,Fenvalerate,Experimental evidence,Contaminated soil,China,2014,Hydrolases,Carboxylesterase,,10.1139/cjm-2014-0104,
Klebsiella pneumoniae BPBA052,Individual strain,Fenvalerate,Experimental evidence,Contaminated soil,China,2019,Dioxygenases,Aromatic-ring cleaving dioxygenases,,10.1139/cjm-2019-0183,
Klebsiella pneumoniae BPBA052,Individual strain,Fenvalerate,Experimental evidence,Contaminated soil,China,2019,Hydrolases,Esterases,,10.1139/cjm-2019-0183,
Citrobacter freundii CD-9,Individual strain,Fenvalerate,Experimental evidence,Plant-sludge,China,2022,Hydrolases,Esterases,,10.4014/jmb.2110.10048,
Citrobacter freundii CD-9,Individual strain,Fenvalerate,Experimental evidence,Plant-sludge,China,2022,Hydrolases,DBP hydrolases,,10.4014/jmb.2110.10048,
Stenotrophomonas acidaminiphila,Individual strain,Fenvalerate,Experimental evidence,Soil,China,2022,Hydrolases,Esterases,,10.4014/jmb.2110.10048,
Stenotrophomonas acidaminiphila,Individual strain,Fenvalerate,Experimental evidence,Soil,China,2022,Hydrolases,DBP hydrolases,,10.4014/jmb.2110.10048,
Shigella sp.,Individual strain,Heptachlor,Experimental evidence,Contaminated sludge,China,2018,,,,10.2166/wst.2018.127,
Pseudomonas aeruginosa strain Is-6,Individual strain,Methamidophos,Experimental evidence,Agricultural soil,India,2012,Hydrolases,Esterases,,10.1080/03601234.2013.836868,"O,S-dimethyl phosphorothioate (DMPT)"
Hyphomicrobium sp. MAP-1,Individual strain,Methamidophos,Experimental evidence,Contaminated soil,China,2010,,,,10.1007/s10532-009-9320-9,
Pseudomonas azotoformans ACP1,Individual strain,Methamidophos,Experimental evidence,Contaminated soil,India,2020,,,,10.3390/biom10030433,
Pseudomonas azotoformans ACP2,Individual strain,Methamidophos,Experimental evidence,Contaminated soil,India,2020,,,,10.3390/biom10030433,
Pseudomonas azotoformans ACP3,Individual strain,Methamidophos,Experimental evidence,Contaminated soil,India,2020,,,,10.3390/biom10030433,
Penicillium oxalicum ZHJ6,Individual strain,Methamidophos,Experimental evidence,Contaminated soil,China,2010,,,,10.1016/S1671-2927(09)60145-0,
Enterobacter sp. Z1,Individual strain,Methamidophos,Experimental evidence,Wastewater,China,2020,,,"Oph, PaaC, RamA, Mcd",10.1016/j.chemosphere.2020.128054,
Synechocystis salina CCNP 1104,Individual strain,Sulfoxaflor,Experimental evidence,Collection strain,Poland,2023,Amidases,Nitrile hydratase,,10.1016/j.chemosphere.2023.139440,
Microcystis aeruginosa CCNP 1101,Individual strain,Sulfoxaflor,Experimental evidence,Collection strain,Poland,2023,Amidases,Nitrile hydratase,,10.1016/j.chemosphere.2023.139440,
Aminobacter sp. CGMCC 1.17253,Individual strain,Sulfoxaflor,Experimental evidence,Soil,China,2020,Amidases,Nitrile hydratase,"nhaseA, nhaseB",10.1021/acs.jafc.9b06668,Sulfoxaflor amide
Pseudomonas azelaica HBP1,Individual strain,2-Phenylphenol,Genomic evidence,Not specified,Not specified,2001,,,hbpCAD operon,10.1099/00221287-147-8-2183,
Pseudomonas putida,Individual strain,2-Phenylphenol,Enzymatic evidence,Not specified,Not specified,1991,Dioxygenases,Biphenyl dioxygenase system,"cbpA, cbpB, cbpC, cbpD",10.1128/aem.57.5.1325-1332.1991,
Paenarthrobacter sp. YJN-5,Individual strain,Iprodione,Experimental evidence,Contaminated soil,China,2018,Amidases,IpaH amidase,ipaH,10.1128/AEM.01150-18,Iprodione hydantoin-ring hydrolysis product
Paenarthrobacter sp. YJN-5,Individual strain,Iprodione,Experimental evidence,Contaminated soil,China,2021,,,"IpaH, DdaH, DuaH",10.1111/1462-2920.15308,
Paenarthrobacter sp. YJN-D,Individual strain,Iprodione,Experimental evidence,Contaminated soil,China,2021,,,"IpaH, DdaH, DuaH",10.1111/1462-2920.15308,
Microbacterium sp. CQH-1,Individual strain,Iprodione,Experimental evidence,Contaminated soil,China,2017,,,,10.1139/cjm-2017-0185,
Pseudomonas fluorescens,Individual strain,Iprodione,Experimental evidence,Contaminated soil,France,1997,,,,10.1111/j.1574-6941.1997.tb00403.x,
Pseudomonas spp,Individual strain,Iprodione,Experimental evidence,Contaminated soil,France,1997,,,,10.1111/j.1574-6941.1997.tb00403.x,
Pseudomonas paucimobilis,Individual strain,Iprodione,Experimental evidence,Contaminated soil,France,1997,,,,10.1111/j.1574-6941.1997.tb00403.x,
Arthrobacter strain 1,Individual strain,Iprodione,Experimental evidence,Contaminated soil,France,1997,,,,10.1111/j.1574-6941.1997.tb00403.x,
Achromobacter sp. C2,Individual strain,Iprodione,Experimental evidence,Agriculture soil,Italy,2017,Hydrolases,Hydantoinase-like,,10.1007/s11356-016-7682-1,
Arthrobacter sp. C1,Individual strain,Iprodione,Experimental evidence,Agriculture soil,Italy,2017,Hydrolases,Hydantoinase-like,,10.1007/s11356-016-7682-1,
Azospirillum sp. A1-3,Individual strain,Iprodione,Experimental evidence,High-altitude agriculture soil,China,2022,,,IpaH,10.3389/fmicb.2022.1057030,"N-(3,5-dichlorophenyl)-2,4-dioxoimidazolidine; (3,5-dichlorophenylurea) acetic acid"
Arthrobacter sp. MA6,Individual strain,Iprodione,Experimental evidence,Contaminated soil,France,1995,Hydrolases,Hydantoinase/urease-like,,10.1128/AEM.61.9.3216-3220.1995,
Zygosaccharomyces rouxii DBVPG 6399,Individual strain,Iprodione,Experimental evidence,culture collections,Italy,2006,,,,10.1021/jf060764j,
Nocardia sp. DDN,Individual strain,Dichlobenil,Experimental evidence,Contaminated soil,Not specified,2009,,,,10.1016/j.envpol.2009.06.003,
Zoogloea sp.,Individual strain,Dichlobenil,Experimental evidence,Contaminated water,Finland,2009,,,,10.1007/s10532-009-9255-1,
Pseudomonas sp.,Individual strain,Dichlobenil,Experimental evidence,Contaminated water,Finland,2009,,,,10.1007/s10532-009-9255-1,
Xanthomonas sp.,Individual strain,Dichlobenil,Experimental evidence,Contaminated water,Finland,2009,,,,10.1007/s10532-009-9255-1,
Rhodococcus sp.,Individual strain,Dichlobenil,Experimental evidence,Contaminated water,Finland,2009,,,,10.1007/s10532-009-9255-1,
Nocardioides sp.,Individual strain,Dichlobenil,Experimental evidence,Contaminated water,Finland,2009,,,,10.1007/s10532-009-9255-1,
Sphingomonas sp. DC-6,Individual strain,Dichlobenil,Experimental evidence,Contaminated water,Finland,2009,,,,10.1007/s10532-009-9255-1,
Rastonia sp.,Individual strain,Dichlobenil,Experimental evidence,Contaminated water,Finland,2009,,,,10.1007/s10532-009-9255-1,
Rhodococcus sp. T1-1,Individual strain,Vinclozolin,Experimental evidence,Contaminated soil,South Korea,2008,,,,PMID: 18309282,
Phanerochaete chrysosporium BKM-F-1767,Individual strain,Chlordane,Experimental evidence,Culture collection,USA,1990,,,,10.1128/aem.56.8.2347-2353.1990,
Bacillus circulans,Individual strain,Captan,Experimental evidence,Contaminated soil,India,2010,,,,10.1021/jf1030339,
Microbacterium esteraromaticum,Individual strain,Fenamiphos,Experimental evidence,Soil,Australia,2009,Hydrolases,Organophosphorus hydrolase / esterase,,10.1016/j.biortech.2008.12.043,Fenamiphos hydrolysis products
Microbacterium esteraromaticum MM1,Individual strain,Fenamiphos,Genomic evidence,Soil,Australia,2018,Hydrolases,Putative esterases / hydrolases,,10.1128/MRA.00862-18,
Microbacterium spp.,Individual strain,Fenamiphos,Experimental evidence,Contaminated soil,Germany,2010,Hydrolases,Hydrolytic enzymes,,10.1007/s10532-010-9362-z,
Cupriavidus sp.,Individual strain,Fenamiphos,Experimental evidence,Contaminated soil,Germany,2010,Hydrolases,Hydrolytic enzymes,,10.1007/s10532-010-9362-z,
Ralstonia sp.,Individual strain,Fenamiphos,Experimental evidence,Contaminated soil,Germany,2010,Hydrolases,Hydrolytic enzymes,,10.1007/s10532-010-9362-z,
Brevundimonas sp.,Individual strain,Fenamiphos,Experimental evidence,Contaminated soil,Germany,2010,Hydrolases,Hydrolytic enzymes,,10.1007/s10532-010-9362-z,
Sinorhizobium sp.,Individual strain,Fenamiphos,Experimental evidence,Contaminated soil,Germany,2010,Hydrolases,Hydrolytic enzymes,,10.1007/s10532-010-9362-z,
Chlorella sp.,Individual strain,Fenamiphos,Experimental evidence,Laboratory cultures,Spain,2008,,,,10.1007/s00284-008-9293-7,
Scenedesmus spp.,Individual strain,Fenamiphos,Experimental evidence,Laboratory cultures,Spain,2008,,,,10.1007/s00284-008-9293-7,
Nostoc spp.,Individual strain,Fenamiphos,Experimental evidence,Laboratory cultures,Spain,2008,,,,10.1007/s00284-008-9293-7,
Anabaena sp.,Individual strain,Fenamiphos,Experimental evidence,Laboratory cultures,Spain,2008,,,,10.1007/s00284-008-9293-7,
Rhodotorula glutinis Rg 55,Individual strain,Propiconazole,Experimental evidence,Leaf surface,Poland,2020,P450,Cytochrome P450,,10.1186/s12866-020-01885-6,
Aureobasidium pullulan Rg 92,Individual strain,Propiconazole,Experimental evidence,Leaf surface,Poland,2020,P450,Cytochrome P450,,10.1186/s12866-020-01885-6,
Pseudomonas aeruginosa PS-4,Individual strain,Propiconazole,Experimental evidence,Contaminated soil,India,2016,P450,Cytochrome P450 monooxygenase,CYP450,10.1007/s13213-016-1222-6,
Burkholderia sp. strain BBK-9,Individual strain,Propiconazole,Experimental evidence,Contaminated soil,India,2016,,,,10.1007/s13205-016-0429-3,"1-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-yl) ethanone; 1-[2-(4-chlorophenyl)ethyl]-1H-1,2,4-triazole; 1-ethyl-1H-1,2,4-triazole"
Serratia sarumanii SBS19,Individual strain,Pyrimethanil,Experimental evidence,Agricultural soil,Turkey,2025,,,,10.1007/s10532-025-10144-2,
Pseudomonas putida II-2,Individual strain,Quinclorac,Experimental evidence,Contaminated soil,China,2020,,,,10.1016/j.ecoenv.2019.109826,
Achromobacter sp.QC36,Individual strain,Quinclorac,Experimental evidence,Contaminated soil,China,2020,,,,10.1016/j.ecoenv.2019.109826,
Burkholderia cepacia WZ1,Individual strain,Quinclorac,Experimental evidence,Contaminated soil,China,2009,Oxidoreductases,Phthalate dioxygenase reductase,,10.1016/j.soilbio.2008.10.026,Chlorinated aromatic ring-cleavage products
Burkholderia cepacia WZ1,Individual strain,Quinclorac,Experimental evidence,Contaminated soil,China,2009,Dioxygenases,"Chlorocatechol 1,2-dioxygenase",,10.1016/j.soilbio.2008.10.026,Chlorinated aromatic ring-cleavage products
Burkholderia cepacia WZ1,Individual strain,Quinclorac,Experimental evidence,Contaminated soil,China,2003,,,,10.1081/PFC-120025560,
Cellulosimicrobium cellulans D,Individual strain,Quinclorac,Experimental evidence,Agriculture soil,China,2021,,,,10.1128/Spectrum.00398-21,
Bacillus megaterium Q3,Individual strain,Quinclorac,Experimental evidence,Tobacco root endophyte,China,2014,,,,10.1371/journal.pone.0108012,
Streptomyces sp. strain AH-B,Individual strain,Quinclorac,Experimental evidence,Contaminates soil,China,2018,,,,10.1016/j.chemosphere.2018.01.133,
Mycobacterium sp. strain F4,Individual strain,Quinclorac,Experimental evidence,Contaminates soil,China,2017,,,,10.1371/journal.pone.0185721,
Klebsiella variicola J5,Individual strain,Quinclorac,Experimental evidence,Tobacco rhizosphere soil,China,2022,Monooxygenases,4-hydroxyphenylacetate 3-monooxygenase,hpaB,10.1007/s11274-022-03329-x,
Pseudomonas aeruginosa sp. strain JQ-41,Individual strain,Fenpropathrin,Experimental evidence,Contaminated soil,China,2015,,,,10.1007/s00284-015-0852-4,
Rhodopseudomonas sp. strain PSB07-21,Individual strain,Fenpropathrin,Experimental evidence,Wastewater,Not specified,2019,,,,10.1002/jobm.201800490,
Sphingobium sp. JQL4-5(JQL4-5-mpd),Individual strain,Fenpropathrin,Experimental evidence,Wastewater,Not specified,2010,Hydrolases,Methyl parathion hydrolase,mpd,10.1016/j.jenvman.2010.06.010,Pyrethroid ester-cleavage products
Clostridium species strain ZP3,Individual strain,Fenpropathrin,Experimental evidence,Not specified,Not specified,2011,,,,10.1007/s10532-010-9444-y,
Bacillus sp. DG-02,Individual strain,Fenpropathrin,Experimental evidence,Culture Collection,China,2014,,,,10.1021/jf404908j,
Bacillus cereus ZH-3,Individual strain,Fenpropathrin,Experimental evidence,Activated sludge,Not specified,2015,,,,10.1016/j.scitotenv.2015.03.124,
Bacillus sp. 3B6,Individual strain,Mesotrione,Experimental evidence,Water,France,2006,,,,10.1002/rcm.2627,
Bacillus sp. 3B6,Individual strain,Mesotrione,Experimental evidence,Water,France,2006,,,,10.1111/j.1472-765X.2006.01923.x,
Pantoea ananatis,Individual strain,Mesotrione,Experimental evidence,Water,Brazil,2012,,,,10.1016/j.chemosphere.2011.12.041,
Amycolatopsis nivea La24,Individual strain,Mesotrione,Experimental evidence,Agriculture soil,China,2024,Oxidoreductases,Nitroreductase,,10.1016/j.jhazmat.2024.134951,Mesotrione reduction products
Bacillus subtilis Y3,Individual strain,Pendimethalin,Experimental evidence,Culture collection strain,Not specified,2016,Oxidoreductases,Pendimethalin nitroreductase,pnr,10.1128/AEM.01771-16,Reduced pendimethalin metabolite
Bacillus subtilis Y3,Individual strain,Pendimethalin,Experimental evidence,Culture collection strain,Not specified,2019,Oxidoreductases,Nitroreductase,lnr,10.1021/acs.jafc.9b04354,
Bacillus subtilis Y3-Δpnr,Individual strain,Pendimethalin,Experimental evidence,Culture collection strain,Not specified,2019,Oxidoreductases,Nitroreductase,lnr,10.1021/acs.jafc.9b04354,
Bacillus subtilis Y3-Δlnr,Individual strain,Pendimethalin,Experimental evidence,Culture collection strain,Not specified,2019,Oxidoreductases,Nitroreductase,lnr,10.1021/acs.jafc.9b04354,
Bacillus subtilis Y3-ΔpnrΔlnr,Individual strain,Pendimethalin,Experimental evidence,Culture collection strain,Not specified,2019,Oxidoreductases,Nitroreductase,lnr,10.1021/acs.jafc.9b04354,
Bacillus subtilis Y3,Individual strain,Pendimethalin,Experimental evidence,Contaminated soil,China,2016,,,,10.1016/j.jes.2015.04.035,
Paracoccus sp. P13,Individual strain,Pendimethalin,Experimental evidence,Agriculture soil,China,2018,,,,10.1007/s00284-018-1494-0,
Bacillus paramycoides NDZ,Individual strain,Acephate,Experimental evidence,Agriculture soil,China,2021,Hydrolases,Organophosphorus hydrolase,,10.1007/s11274-020-02931-1,"Methamidophos; O,S-dimethyl hydrogen phosphorothioate"
Pseudomonas aeruginosa Is-6,Individual strain,Acephate,Experimental evidence,Agriculture soil,India,2014,,,,10.1080/03601234.2013.836868,"Methamidophos; O,S-dimethyl phosphorothioate (DMPT); Phosphoric acid; CO2"
Pseudomonas pseudoalcaligenes PS-5,Individual strain,Acephate,Experimental evidence,Contaminated soil,India,2017,,,,10.1007/s13205-017-0900-9,
Enterobacter asburiae,Individual strain,Acephate,Experimental evidence,Insect gut,India,2016,,,,PMID: 27498509,
Bacillus cereus,Individual strain,Acephate,Experimental evidence,Insect gut,India,2016,,,,PMID: 27498509,
Pantoea agglomerans,Individual strain,Acephate,Experimental evidence,Insect gut,India,2016,,,,PMID: 27498509,
Arthrobacter atrocyaneus ATCC 13752,Individual strain,Phosphonic acid,Experimental evidence,Soil,Not specified,1979,Lyases,C–P lyase,,10.1128/aem.54.5.1293-1296.1988,
Ochrobactrum sp. BTU1,Individual strain,Phosphonic acid,Experimental evidence,Activated sludge,Czech Republic,2009,Lyases,C–P lyase,,10.1016/j.micres.2024.127600,
Escherichia coli,Individual strain,Phosphonic acid,Experimental evidence,Laboratory strain,Not specified,1991,Lyases,C–P lyase,phnC–phnP,10.1128/JB.01131-09,C-P bond cleavage products
Enzyme stydy,Individual strain,Phosphonic acid,Enzymatic evidence,Not specified,Not specified,2016,Dioxygenases,Iron(II)- and 2-(oxo)glutarate-dependent oxygenase,"TmpA, TmpB.",10.1021/acs.biochem.9b00044,
Sinorhizobium meliloti 1021,Individual strain,Phosphonic acid,Experimental evidence,Soil,Not specified,2003,Oxidoreductases,Phosphonoacetaldehyde dehydrogenase,"phnW, phnA, and phnY",10.1074/jbc.M111.237735,
Sinorhizobium meliloti 1021,Individual strain,Phosphonic acid,Experimental evidence,Soil,Not specified,2003,Hydrolases,Phosphonoacetate hydrolase,,10.1074/jbc.M111.237735,
Aspergillus flavus,Individual strain,Phosphonic acid,Experimental evidence,Agriculture soil,Not specified,2008,Phosphatases,Phosphatases,,10.1007/BF02816226,
Aspergillus flavus,Individual strain,Phosphonic acid,Experimental evidence,Agriculture soil,Not specified,2008,Hydrolases,Esterases,,10.1007/BF02816226,
Aspergillus sydowii,Individual strain,Phosphonic acid,Experimental evidence,Agriculture soil,Not specified,2008,Phosphatases,Phosphatases,,10.1007/BF02816226,
Aspergillus sydowii,Individual strain,Phosphonic acid,Experimental evidence,Agriculture soil,Not specified,2008,Hydrolases,Esterases,,10.1007/BF02816226,
Fusarium oxysporum (DSMZ 2018),Individual strain,Phosphonic acid,Experimental evidence,DSMZ collection,Not specified,2013,Oxidoreductases,Oxidative enzymes,,10.1155/2013/927361,
Fusarium culmorum (DSMZ 1094),Individual strain,Phosphonic acid,Experimental evidence,DSMZ collection,Not specified,2013,Oxidoreductases,Oxidative enzymes,,10.1155/2013/927361,
Escherichia coli,Individual strain,Phosphonic acid,Experimental evidence,Laboratory strain,Not specified,1987,Lyases,C–P lyase,phn operon,10.1128/jb.92.3.623-627.1966,
Escherichia coli,Individual strain,Phosphonic acid,Experimental evidence,Laboratory strain,Not specified,1992,Lyases,C–P lyase complex,"PhnC, PhnD,PhnE, PhnG, PhnH, PhnI, PhnJ, PhnK, PhnL, and PhnM",10.1128/jb.175.11.3430-3442.1993,
Enterobacter cloacae strain MUG75,Individual strain,Profenofos,Experimental evidence,rhizosphere soil,Pakistan,2021,,,,10.1080/15226514.2021.1952927,
Pseudomonas aeruginosa strain OW,Individual strain,Profenofos,Experimental evidence,Contaminated soil,China,2009,Hydrolases,Organophosphate hydrolase / esterase,,10.1016/S1001-0742(08)62460-2,
Bacillus sp. PF1,Individual strain,Profenofos,Experimental evidence,Agriculture soil,India,2014,Hydrolases,Esterase,,10.1080/09593330.2021.1976282,
Pseudomonas sp.,Individual strain,Profenofos,Experimental evidence,Contaminated soil,India,2012,,,,10.1590/S1517-838220090004000021,
Burkholderia sp.,Individual strain,Profenofos,Experimental evidence,Contaminated soil,India,2012,,,,10.1590/S1517-838220090004000021,
Cupriavidus nantongensis X1ᵀ,Individual strain,Profenofos,Experimental evidence,Activated sludge,China,2020,Hydrolases,Organophosphate hydrolase,OpdB,10.1021/acs.jafc.0c00132,Profenofos hydrolysis products
Cupriavidus nantongensis X1ᵀ,Individual strain,Profenofos,Experimental evidence,Activated sludge,China,2023,Hydrolases,Organophosphate hydrolase,OpdB,10.3390/ijms24066003,
Cupriavidus nantongensis X1ᵀ,Individual strain,Profenofos,Experimental evidence,Activated sludge,China,2023,Hydrolases,Organophosphate hydrolase,OpdB,10.1016/j.scitotenv.2022.160782,
Bacillus subtilis strains DR-39,Individual strain,Profenofos,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Esterase,,10.1021/jf400528d,
Bacillus subtilis strains DR-39,Individual strain,Profenofos,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Phosphotriesterase,,10.1021/jf400528d,
Bacillus subtilis strains CS-126,Individual strain,Profenofos,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Esterase,,10.1021/jf400528d,
Bacillus subtilis strains CS-126,Individual strain,Profenofos,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Phosphotriesterase,,10.1021/jf400528d,
Bacillus subtilis strains TL-171,Individual strain,Profenofos,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Esterase,,10.1021/jf400528d,
