pesticide,paper_title,doi,publication_year,microorganism_or_strain,evidence_category,source_pdf,pesticide_specific_context,biodegradation_term_hits,gene_enzyme_term_hits,pathway_metabolite_term_hits,pesticide_mentions,pesticide_degradation_contexts,microbial_contexts_near_pesticide,gene_enzyme_contexts_near_pesticide,curation_source_folder
Propamocarb,Biodegradation (2012) 23:297–310,10.1007/s10532-011-9509-6,2012,B. amyloliquefaciens IN937a and; B. pumilus SE34 more; Bordetella sp. B9. Biodegradation; FZB24; GB03. The PGPR strains; IN937a,Gene/enzyme and pathway/metabolite evidence,Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf,"icides and 10.3–16.4 and 9.2–15.9 days, respectively, markedly their effects on bacterial growth. Interactions of lower compared with[34.2 days in the control. From Bacillus subtilis GB03, Bacillus subtilis FZB24, the rest pesticides studied degradation of propamoBacillus amyloliquefaciens IN937a and Bacillus carb hydrochloride and thiamethoxam was enhanced pumilus SE34 with two concentrations of acibenzo- in the presence of B. amyloliquefaciens IN937a and lar-S-methyl, metribuzin, napropamide, propamocarb B. pumilus SE34. Acibenzolar-S-methyl, propamohydrochloride and thiamethoxam in liquid culture carb hydrochloride and thiamethoxam significantly and soil microcosm were studied. The degradation of increased the PGPR growth. However, the stimulaacibenzolar-S-methyl by all PGPR tested in low and tory effect was related to the level of pesticide spiked. high concentration, was 5.4 and 5.7",144,6,20,24,22,20,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propamocarb/PesticideDB_curation_Propamocarb_20260707
Propamocarb,Received: 29 October 2019 Accepted: 5 July 2020,10.1002/agj2.20368,2020,,Gene/enzyme and pathway/metabolite evidence,Analysis of genes and metabolites associated with propamocarb hydrochloride response in tobacco.pdf,"Received: 29 October 2019 Accepted: 5 July 2020 DOI: 10.1002/agj2.20368 ARTICLE Analysis of genes and metabolites associated with propamocarb hydrochloride response in tobacco Huijuan Yang Yuning Zhang Hongzhi Shi College of Tobacco Science, Henan Agricultural University, No. 95, Wenhua Abstract Road, Zhengzhou, Henan Province, Propamocarb hydrochloride is a systemic fungicide used against Pythium and 450002, P.R. China Phytophthora as well as other diseases in tobacco. This study aimed to underCorrespondence stand the response of tobacco to propamocarb hydrochloride treatment at the Hongzhi Shi, College of Tobacco Sci- transcriptome",60,76,52,36,21,24,29,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propamocarb/PesticideDB_curation_Propamocarb_20260707
Propamocarb,published: 12 June 2020,10.1007/978-3-319-74057-7_7,2020,GV3101; method. PDS To determine,Gene/enzyme and pathway/metabolite evidence,Overexpression of CsHMGB Alleviates Phytotoxicity and Propamocarb Residues in Cucumber.pdf,"Horticultural Crops (Northeast Region), Northeast Agricultural University, Harbin, China, 2 College of Horticulture, Fujian Provincial Key Laboratory of Haixia Applied Plant Systems Biology, Fujian Agriculture and Forestry University, Fuzhou, China Cucumber (Cucumis sativus L.) is one of the most economically important fruits of the Cucurbitaceae family, therefore consideration of potential pesticide residues in the fruit in the context of cucumber breeding and production programs is important. Propamocarb (a pesticide commonly used to prevent downy mildew) is widely used in cucumber cultivation, but the molecular mechanism underlying the degradation and metabolism of propamocarb in cucumber is not well understood. We screened a Edited by: candidate CsHMGB gene (CsaV3-5G28190) for response to propamocarb exposure Raul Antonio Sperotto, using transcriptome data. The coding region of CsHMG",19,141,14,161,5,7,38,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propamocarb/PesticideDB_curation_Propamocarb_20260707
Propamocarb,Liu et al. BMC Plant Biology (2018) 18:16,10.1186/s12870-018-1236-2,2022,LBA4404,Gene/enzyme and pathway/metabolite evidence,Expression and functional analysis of the Propamocarb-related gene CsDIR16 in cucumbers..pdf,"more previous study, the transcriptome changes in cucumber rapidly compared with wild-type plants and CsDIR16(−) T1 fruit of cultivar ‘D0351’ in response to PM treatment were transgenic plants. These results suggested that CsDIR16 analyzed by our research group. [21]. The transcriptome overexpression reduced PM residues through accelerating data indicated that CsDIR16 showed the highest differPM degradation. ential expression between plants treated with PM versus Fig. 8 Quantitative analysis of propamocarb (PM) residues, peroxidase (POD) activity, and the malondialdehyde (MDA) content in transgenic plants. a Quantitative analysis of PM residues in T0 transgenic plants using gas chromatography. b Quantitative analysis of PM residues in T1 transgenic plants using gas chromatography. c Quantitative analysis of POD activity in T1 transgenic plants. d Quantitative analysis of the MDA content",17,146,22,18,6,5,10,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propamocarb/PesticideDB_curation_Propamocarb_20260707
Propargite,Contents lists available at ScienceDirect,10.1016/j.jhazmat.2009.09.050,2010,SPR 13 followed by; exhibited a range of; num- 2003. ber SPR; number SPR 13 degraded; number SPR 7. Generally; soils in relation to,Gene/enzyme and pathway/metabolite evidence,"Biodegradation of propargite by Pseudomonas putida, isolated from tea rhizosphere..pdf","Journal of Hazardous Materials 174 (2010) 295–298 Contents lists available at ScienceDirect Journal of Hazardous Materials journal homepage: www.elsevier.com/locate/jhazmat Biodegradation of propargite by Pseudomonas putida, isolated from tea rhizosphere Soumik Sarkar ∗ , Subbiah Seenivasan, Robert Premkumar Samuel Asir UPASI Tea Research Foundation, Nirar Dam BPO, Valparai 642127, India a r t i c l e i n f o a b s t r a c t Article history: Biodegradation of miticide propargite was carried out in vitro by selected Pseudomonas strains isolated Received 3 March 2009 from tea rhizosphere. A total number of 13 strains were isolated and further screened based on their tolReceived in revised form",58,2,6,37,24,34,3,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propargite/PesticideDB_curation_Propargite_20260707
Propargite,Contents lists available at ScienceDirect,10.1016/j.jhazmat.2009.09.050,2010,SPR 13 followed by; exhibited a range of; num- 2003. ber SPR; number SPR 13 degraded; number SPR 7. Generally; soils in relation to,Gene/enzyme and pathway/metabolite evidence,Calculation of pesticide degradation in decaying cotton gin trash..pdf,"Journal of Hazardous Materials 174 (2010) 295–298 Contents lists available at ScienceDirect Journal of Hazardous Materials journal homepage: www.elsevier.com/locate/jhazmat Biodegradation of propargite by Pseudomonas putida, isolated from tea rhizosphere Soumik Sarkar ∗ , Subbiah Seenivasan, Robert Premkumar Samuel Asir UPASI Tea Research Foundation, Nirar Dam BPO, Valparai 642127, India a r t i c l e i n f o a b s t r a c t Article history: Biodegradation of miticide propargite was carried out in vitro by selected Pseudomonas strains isolated Received 3 March 2009 from tea rhizosphere. A total number of 13 strains were isolated and further screened based on their tolReceived in revised form",58,2,6,37,24,34,3,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propargite/PesticideDB_curation_Propargite_20260707
Propargite,APPROVED: 12 February 2018,10.2903/j.efsa.2007.32r,2025,of rats,Gene/enzyme and pathway/metabolite evidence,Setting of maximum residue limits for propargite in citrus fruits and tea..pdf,"n MRL of 50 mg/kg for tea could be derived. However, a risk manager decision is required whether the setting of a MRL of 50 mg/kg for tea is acceptable since the MRL reported to be into force in India is 10 mg/kg. Adequate analytical enforcement methods are available to control the residues of propargite on the commodities under consideration. Since the enforcement method of analysis is not enantioselective, residues are determined as the sum of any possible isomer ratio of the active substance propargite. EFSA concluded that the use of propargite on oranges and tea as reported in the countries of origin will not result in a consumer exposure exceeding the toxicological reference values and therefore is unlikely to pose a consumer health risk. However, it should be noted that the risk assessment is affected by uncertainties linked to the toxicological proﬁle and the reliability of result",124,3,116,170,14,0,0,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propargite/PesticideDB_curation_Propargite_20260707
Pymetrozine,Contents lists available at ScienceDirect,10.1016/j.jhazmat.2008.08.020,2009,,Gene/enzyme and pathway/metabolite evidence,Kinetic study of the degradation of the insecticide pymetrozine in a vegetable-field ecosystem..pdf,"Journal of Hazardous Materials 164 (2009) 497–501 Contents lists available at ScienceDirect Journal of Hazardous Materials journal homepage: www.elsevier.com/locate/jhazmat Kinetic study of the degradation of the insecticide pymetrozine in a vegetable-ﬁeld ecosystem Guoqing Shen a,∗ , Xuan Hu a , Yinan Hu b a Department of Environment and Resource, College of Agriculture and Biology, Shanghai Jiao Tong University, Shanghai 200240, PR China b College of Life Sciences, Nanjing Normal University, Nanjing 210097, PR China a r t i c l e i n f o a b s t r a c t Article history: The disappearance kinetics of pymetrozine was studied in a broccoli-ﬁeld ecosystem, and an efﬁcient Received 14 June 2008 method for the determination of pym",11,1,13,76,13,4,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pymetrozine/PesticideDB_curation_Pymetrozine_20260707
Pymetrozine,This article was downloaded by: [University of Illinois Chicago],10.1080/03601230701549271,2014,,Gene/enzyme and pathway/metabolite evidence,"Degradation of cyprodinil, fludioxonil, cyfluthrin and pymetrozine on lettuce after different application methods..pdf","ago] On: 11 November 2014, At: 03:27 Publisher: Taylor & Francis Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK Journal of Environmental Science and Health, Part B: Pesticides, Food Contaminants, and Agricultural Wastes Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/lesb20 Degradation of cyprodinil, fludioxonil, cyfluthrin and pymetrozine on lettuce after different application methods a a a a Maddalena Cabizza , Maurizio Satta , Susanna Falconi , Minica Onano & Giovanni a Uccheddu a Centro Regionale Agrario Sperimentale - Regione Sardegna , , Cagliari, Italy Published online: 10 Sep 2007. To cite this article: Maddalena Cabizza , Maurizio Satta , Susanna Falconi , Minica Onano & Giovanni Uccheddu (2007) Degradation of c",15,1,6,23,12,2,1,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pymetrozine/PesticideDB_curation_Pymetrozine_20260707
Pymetrozine,"Cite This: J. Agric. Food Chem. 2019, 67, 4170−4176 pubs.acs.org/JAFC",10.1021/acs.jafc.8b06155,2020,BYT 4174 DOI; BYT-1; BYT-1 also supported that; BYT-1 and BYT-1 was; BYT-1 and its close; BYT-1 and related species,Gene/enzyme and pathway/metabolite evidence,Isolation and Characterization of the Pymetrozine-Degrading Strain Pseudomonas sp. BYT-1..pdf,"ple’s Republic of China ‡ Jiangsu Key Laboratory for Food Quality and Safety, State Key Laboratory Cultivation Base, Ministry of Science and Technology, Institute of Food Safety and Nutrition, Jiangsu Academy of Agricultural Sciences, Nanjing 210014, People’s Republic of China Downloaded via UNIV OF EXETER on July 16, 2020 at 16:16:27 (UTC). * S Supporting Information ABSTRACT: In this study, we isolated and characterized the bacterial strain Pseudomonas sp. BYT-1, which is capable of degrading pymetrozine and using it as the sole carbon source for growth. Strain BYT-1 could degrade 2.30 mM pymetrozine within 20 h under the optimal conditions of 30 °C and pH 7.0. Investigation of the degradation pathway showed that pymetrozine was oxidatively hydrolyzed to 4-amino-6-methyl-4,5-dihydro-2H-[1,2,4]triazin-3-one (AMDT) and nicotinic acid (NA). The former accumulates as the end product in the",86,28,36,109,33,36,5,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pymetrozine/PesticideDB_curation_Pymetrozine_20260707
Pymetrozine,Residue Behavior of Methoxyfenozide and Pymetrozine in,10.3390/foods11192995,2022,,Gene/enzyme and pathway/metabolite evidence,Residue Behavior of Methoxyfenozide and Pymetrozine in Chinese Cabbage and Their Health Risk Assessment..pdf,"cs and influence of environmental factors on the dissipation of methoxyfenozide and pymetrozine residues in Chinese cabbage were investigated. Analyses were performed using a modified QuEchERS (Quick, Easy, Cheap, Effective, Rugged, and Safe) and an optimized high performance liquid chromatography-tandem mass spectrometry (HPLC-MS/MS). The observed half-lives of methoxyfenozide and pymetrozine in cabbage samples ranged between two sampling seasons: in May–June, half-lives of methoxyfenozide and pymetrozine were 1.20 days and 1.89 days, respectively; during October–November, half-lives of methoxyfenozide and pymetrozine were 11.8 and 2.80 days, respectively. Meanwhile, a negative Spearman correlation was found between the residual concentrations and temperature (p < 0.01). This indicates that higher temperatures resulted in higher dissipation rates for methoxyfenozide and pymetrozine, sug",19,5,42,92,9,1,7,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pymetrozine/PesticideDB_curation_Pymetrozine_20260707
Pymetrozine,"Environmental Microbiology (2021) 23(6), 3265–3273 doi:10.1111/1462-2920.15557",10.1111/1462-2920.15557,2025,AC100. Appl Environ Microbiol; BL21; BR60; BYT-1; BYT-1 and; BYT-1 and its derivative,Gene/enzyme and pathway/metabolite evidence,A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1..pdf,"Environmental Microbiology (2021) 23(6), 3265–3273 doi:10.1111/1462-2920.15557 A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1 Mingliang Zhang, Yijun Ren, Shilong Du, moderately persistent compound (JMPR, 2014). FollowYidong Zhou, Wankui Jiang, Zhijian Ke, Mingli Jiang, ing its widespread use, pymetrozine has been detected Jiguo Qiu, Jian He and Qing Hong * in the environment, agricultural products and animals Key Laboratory of Agricultural Environmental (Badawy et al., 2015; Zhang et al., 2015). A single dose Microbiology, Ministry of Agriculture, College of Life of pymetrozine (0.",63,122,40,115,34,31,38,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pymetrozine/PesticideDB_curation_Pymetrozine_20260707
Spirodiclofen,Environ Sci Pollut Res (2017) 24:9278–9285,10.1007/s11356-017-8589-1,2020,,Gene/enzyme and pathway/metabolite evidence,Enhanced degradation of spiro-insecticides and their leacher enol derivatives in soil by solarization and biosolarization techniques..pdf,"56-017-8589-1 RESEARCH ARTICLE Enhanced degradation of spiro-insecticides and their leacher enol derivatives in soil by solarization and biosolarization techniques José Fenoll 1 & Isabel Garrido 1 & Nuria Vela 2 & Caridad Ros 1 & Simón Navarro 3 Received: 15 September 2016 / Accepted: 6 February 2017 / Published online: 22 February 2017 # Springer-Verlag Berlin Heidelberg 2017 Abstract The leaching potential of three insecticides strategies for detoxification of soils polluted with the studied (spirodiclofen, spiromesifen, and spirotetramat) was assessed pesticides. using disturbed soil columns. Small quantities of spirodiclofen and spiromesifen were detected in leachate fraction, while Keywords Groundwater pollution . Organic amendments . spirotetramat residues were not found in the leachates. In ad- Pesticide movement . Solar heating . Soil decontamination dition, the transformation pr",49,2,26,12,10,1,1,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Spirodiclofen/PesticideDB_curation_Spirodiclofen_20260707
Spirodiclofen,Dissipation Kinetics and Risk Assessment of Spirodiclofen and,10.3390/foods12020242,2023,,Pathway/metabolite evidence,Dissipation Kinetics and Risk Assessment of Spirodiclofen and Tebufenpyrad in iAster scaberi Thunb..pdf,"0.2 9.8 0.01 STR 1.0 101.8 103.6 100.0 101.8 ± 1.8 1.8 Foods 2023, 12, 242 5 of 11 Table 2. Cont. Recovery (%) Spiking Levels CV MLOQ Pesticides Replicates (mg/kg) (Mean ± SD) (%) (mg/kg) 1 2 3 0.1 82.0 98.1 87.1 89.1 ± 8.2 9.2 RCV Tebufenpyrad 1.0 106.0 102.0 101.8 103.3 ± 2.4 2.3 0.01 STR 1.0 101.4 109.8 101.3 104.2 ± 4.9 4.7 SD: standard deviation; CV: coefficient of variation; and MLOQ: method limit of quantification. For the storage stability test conducted at a concentration of 1.0 mg/kg, spirodiclofen showed a recovery rate of 101.8% ± 1.8% after 162 days of storage and tebufenpyrad showed a recovery rate of 104.2% ± 4.9% after 150 days of storage, confirming that there was no degradation or loss of both components during the storage period of the samples. 3.3. Characteristics of Pesticide Residues in Aster scaber Several studies have reported factors affecting pesticide persisten",9,0,26,81,1,1,0,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Spirodiclofen/PesticideDB_curation_Spirodiclofen_20260707
Spirodiclofen,Terminal Residues and Risk Assessment of Spiromesifen and,10.3390/plants12071493,2023,,Gene/enzyme and pathway/metabolite evidence,Terminal Residues and Risk Assessment of Spiromesifen and Spirodiclofen in Tomato Fruits..pdf,"chromatograms of of blank blank sample extract (A,C), C),spiromesifen spiromesifen fortified sample extract (5 µg/kg) (B), spirodiclofen fortified sample extract (5 µg/kg) fortified sample extract (5 µg/kg) (B), spirodiclofen fortified sample extract (5 µg/kg) (D). 2.4. 2.4.Dissipation DissipationofofSpiromesifen Spiromesifenand andSpirodiclofen SpirodiclofenininTomato TomatoFruits Fruits The Thedissipation dissipationprofiles of of profiles spiromesifen spiromesifenandandspirodiclofen residues spirodiclofen in tomato residues fruit were in tomato fruit observed up to 14 days after spraying the authorized dose of 120 g a.i/ha were observed up to 14 days after spraying the authorized dose of 120 g a.i/ha and 84 g and 84 g a.i/ha and theand a.i/ha double dose of the double 240ofg240 dose a.i/ha andand g a.i/ha 168168 g a.i/ha, respectively. g a.i/ha, respectively.TheTheresults resultsshowe",8,4,24,92,1,0,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Spirodiclofen/PesticideDB_curation_Spirodiclofen_20260707
Spirodiclofen,APPROVED: 6 October 2021,10.2903/j.efsa.2010.1560,2025,,Gene/enzyme and pathway/metabolite evidence,Review of the existing maximum residue levels for spirodiclofen according to Article 12 of Regulation (EC) No 3962005..pdf,"o 396/2005, EFSA shall provide a reasoned opinion on: • the inclusion of the active substance in Annex IV to the Regulation, when appropriate; • the necessity of setting new MRLs for the active substance or deleting/modifying existing MRLs set out in Annex II or III of the Regulation; • the inclusion of the recommended MRLs in Annex II or III to the Regulation; • the setting of speciﬁc processing factors as referred to in Article 20(2) of the Regulation. The active substance and its use pattern Spirodiclofen is the ISO common name for 3-(2,4-dichlorophenyl)-2-oxo-1-oxaspiro[4.5]dec-3-en-4-yl 2,2-dimethylbutyrate (IUPAC). The chemical structure of the active substance and its main metabolites is reported in Appendix F. The EU MRLs for spirodiclofen are established in Annex IIIA of Regulation (EC) No 396/2005. Codex maximum residue limits (CXLs) for spirodiclofen were also established by t",42,38,63,217,3,2,3,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Spirodiclofen/PesticideDB_curation_Spirodiclofen_20260707
Spirodiclofen,Received: 5 July 2021 Accepted article published: 26 July 2021 Published online in Wiley Online Library: 6 August 2021,10.1002/ps.6307,2025,,Gene/enzyme and pathway/metabolite evidence,"In vitro metabolism of tebuconazole, flurtamone, fenhexamid, metalaxyl-M and spirodiclofen in Cannabis sativa L. (hemp) callus cultures..pdf","itive health effects of these cannabinoids. To satisfy the demand, C. sativa plants are prop agated in contained growth chambers. During indoor propagation, pesticides usually are used to ensure efﬁcient production. However, pesticide registration and safe application in C. sativa has not been investigated in detail. RESULTS: With this study the metabolic degradation of pesticides in recently established C. sativa callus cultures was examined. Tebuconazole, metalaxyl-M fenhexamid, ﬂurtamone and spirodiclofen were applied at 10 ∼M for 21 days. Results were com pared with metabolism data obtained from Brassica napus L., Glycine max (L.) Merr., Zea mays L. and Tritium aestivum L. callus cultures as well as in metabolism guideline studies. The successfully established C. sativa callus cultures were able to degrade pesticides by oxidation, demethylation, and cleavage of ester bonds in phase I",254,14,125,58,23,23,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Spirodiclofen/PesticideDB_curation_Spirodiclofen_20260707
Teflubenzuron,This article was downloaded by: [Dalhousie University],10.1081/PFC-100106185,2014,Bacillus brevis 625 incubated; was checked on its,Gene/enzyme and pathway/metabolite evidence,Transformation of the insecticide teflubenzuron by microorganisms..pdf,"ed by: [Dalhousie University] On: 13 July 2014, At: 21:29 Publisher: Taylor & Francis Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK Journal of Environmental Science and Health, Part B: Pesticides, Food Contaminants, and Agricultural Wastes Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/lesb20 TRANSFORMATION OF THE INSECTICIDE TEFLUBENZURON BY MICROORGANISMS a a b Zoja I. Finkelstein , Boris P. Baskunov , Ivonne M. C. M. Rietjens , Marelle G. b b c Boersma , Jacques Vervoort & Ludmila A. Golovleva a G.K. Skryabin Institute of Biochemistry and Physiology of Microorganisms , RAS, Pushchino, Moscow region, 142290, Russia b Laboratory of Biochemistry and Division of Toxicology , Wageningen University , Dreijenlaan 3, 6703,",43,7,35,43,39,39,11,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Teflubenzuron/PesticideDB_curation_Teflubenzuron_20260707
Teflubenzuron,Bull Environ Contam Toxicol (2016) 96:224–228,10.1007/s00128-015-1707-1,2016,,Gene/enzyme and pathway/metabolite evidence,Persistence and Stability of Teflubenzuron and Diflubenzuron When Associated to Organic Particles in Marine Sediment..pdf,"nSuggested pathways for the disappearance of the drugs from tration of 3.13 ± 0.15 mg/g where most of the water had sediment are dissolution into seawater (outwashing), chemical been removed by filtration (Group 2) and medicated pellets and microbial degradation, bioturbation, and resuspension of (3 mm, Ektobann vet.) (group 3) were added on top of the organic material or combinations of these. Although water sediment layer. Medicated pellets (3 mm, Releeze vet.) solubility of diflubenzuron and teflubenzuron is low, 0.089 were added to vials with sediment (Group 4) and without and 0.0094 mg/L at 20°C respectively, outwashing may be sediment (Group 5). Each treatment group consisted of 42 effective over time especially from medicated pellets where vials and the weights of the faecal material and medicated the drugs are coated on the surface of the pellets. Rapid pellets were registered fo",12,3,16,30,11,15,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Teflubenzuron/PesticideDB_curation_Teflubenzuron_20260707
Teflubenzuron,Chitin Synthesis and Degradation in Crustaceans: A Genomic,10.3390/md19030153,2021,,Gene/enzyme and pathway/metabolite evidence,Chitin Synthesis and Degradation in Crustaceans A Genomic View and Application..pdf,"ar whether the CHS genes in crustaceans share functional roles with insects or if they are distinct. RNA interference (dsCHS1 and dsCHS1+2) experiments in L. salmonis demonstrated the existence of compensation mechanisms in the chitin synthesis path way, and CHS knockdown in these salmon lice resulted in a common phenotype, which was characterized by appendage deformities and an inability to swim [36]. Moreover, CHS inhibitors, such as diflubenzuron (DFB), hexaflumuron (HX), lufenuron (LF), and teflubenzuron (TFB) are known to interfere with chitin formation and molting in insects and completely inhibit the molting process in crustaceans (copepods), which eventually leads to death [18]. Mar. Drugs 2021, 19, 153 11 of 23 3. Chitin Degradation Pathways and Gene Families 3.1. Chitin Degradation Pathways Chitin is mainly degraded through two biological pathways: chitin is first decomposed by",33,256,48,1,1,0,1,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Teflubenzuron/PesticideDB_curation_Teflubenzuron_20260707
Teflubenzuron,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/381281973",10.1007/s40203-024-00229-w,2025,HZN12; HZN12 using chicken feather; of Pseudomonas stutzeri and,Gene/enzyme and pathway/metabolite evidence,Identification of molecular interactions of pesticides with keratinase for their potential to inhibit keratin biodegradation..pdf,"keratin-degradation process. In the present study, molecular interactions of 20 selected pesticides with the keratinase enzyme were analyzed by performing molecular docking. In blind docking, 14 out of 20 pesticides showed higher inhibitory potential than the known inhibitor phenylmethylsulfonyl flouride, all of which exhibited higher inhibitory potential in site-specific docking. The stability and strength of the protein complexes formed by the top best potential pesticides namely fluralaner, teflubenzuron, cyhalothrin, and cyfluthrin has been further validated by molecular dynamic simulation studies. The present study is the first report for the preliminary investigation of the keratinase-inhibitory potential of pesticides and highlights the plausible role of these pesticides in hindering the biological process of keratin degradation and thereby their contribution in environmental pol",26,89,10,27,2,4,20,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Teflubenzuron/PesticideDB_curation_Teflubenzuron_20260707
Thiamethoxam,Appl Microbiol Biotechnol (2013) 97:4065–4074,10.1007/s00253-012-4638-3,2013,MRL3. Ecotoxicology 20; MRM6. Bull Environ Contam; N7 isolated from toAlexander; PS19. Pestic Biochem Phys; TMX-23 Guang-can Zhou; TMX-23 enriched in MSM,Gene/enzyme and pathway/metabolite evidence,Biodegradation of the neonicotinoid insecticide thiamethoxam by the nitrogen-fixing and plant-growth-promoting rhizobacterium Ensifer adhaerens strain TMX-23..pdf,"Appl Microbiol Biotechnol (2013) 97:4065–4074 DOI 10.1007/s00253-012-4638-3 APPLIED MICROBIAL AND CELL PHYSIOLOGY Biodegradation of the neonicotinoid insecticide thiamethoxam by the nitrogen-fixing and plant-growth-promoting rhizobacterium Ensifer adhaerens strain TMX-23 Guang-can Zhou & Ying Wang & Shan Zhai & Feng Ge & Zhong-hua Liu & Yi-jun Dai & Sheng Yuan & Jun-yi Hou Received: 3 September 2012 / Revised: 3 December 2012 / Accepted: 5 December 2012 / Published online: 30 December 2012 # Springer-Verlag Berlin Heidelberg 2012 Abstract Thiamethoxam (THIA), a second generation TMX-23, enhancing growth of the bacterium and its producneonicotinoid insecticide in the",117,35,92,11,9,9,7,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,Ecotoxicology (2018) 27:764–771,10.1007/s10646-017,2018,,Gene/enzyme and pathway/metabolite evidence,"Assessing the toxicity of thiamethoxam, in natural LUFA 2.2 soil, through three generations of Folsomia candida..pdf","to the Insecta. The family Isotomidae neonicotinoid thiamethoxam, pure and in the formulation have a ventral tube or collophore which is involved in the Actara®, in freshly spiked LUFA 2.2 soil, throughout three exchange of ﬂuids with the external environment, being an generations of the springtail Folsomia candida, in order to important route of exposure to contaminants present in the test two hypotheses: 1. Actara® is more toxic than pure pore water. Sexual maturity of F. candida is achieved thiamethoxam due to the presence of additives and other between 21 to 24 days after hatching (sixth instar), and each ingredients used in the formulation; 2. The toxicity of individual can lay about 30 to 50 eggs per batch (Fountain thiamethoxam, pure or in the formulation Actara®, will and Hopkin 2005). Adults of this species were taken from change throughout the generations, due to metabolic or",11,81,38,75,9,5,36,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,Science of the Total Environment 725 (2020) 138328,10.1016/j.scitotenv.2020.138328,2020,IMBL 5.2 the three; IMBL4.1 and Pseudomonas putida; TMX-23. Appl. Microbiol. Maien; TW and of thiamethoxam; TY,Gene/enzyme and pathway/metabolite evidence,Effects on soil microbial community after exposure to neonicotinoid insecticides thiamethoxam and dinotefuran..pdf,"y. • The genetic community transition changed the carbon source utilization proﬁle. • Effect on soil microbial community was inﬂuenced by type and level of expo sure. • Chloroﬂexi and Nitrospirae increased after exposure to both studied neonicotinoids. a r t i c l e i n f o a b s t r a c t Article history: The wide application of neonicotinoid insecticides in soil may affect soil microbial community, yet the informaReceived 28 January 2020 tion is limited. This study ﬁrst reports the effects of thiamethoxam and dinotefuranon on soil microbial commuReceived in revised form 22 March 2020 nity. Soil from a forest land was collected and spiked with different nominal levels (0.02 mg kg−1, 0.2 mg kg−1 Accepted 28 March 2020 and 2.0 mg kg−1) of thiamethoxam and dinotefuran, respectively, and cultivated for 112 days. During the Available online 31 March 2020 study, concentrations of the two neon",69,42,49,89,23,26,21,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
