pesticide,current_pathway_status,stepwise_arrow_count,folder_found,real_pdf_count,html_placeholder_count,top_candidate_papers,doi_candidates_from_queue,automated_evidence_signal,needed_information_for_kegg_like_arrow,recommended_next_action,sample_files_from_usb_folder
Phosmet,Stepwise pathway integrated,4,Yes,17,0,"Heterogeneous reaction of suspended phosmet particles with NO3 radicals..pdf | Photolysis experiments on phosmet, an organophosphorus insecticide..pdf | Microbial degradation of phosmet on blueberry fruit and in aqueous systems by indigenous bacterial flora on lowbush blueberries (Vaccinium angustifolium)..pdf | Evaluation of chemical and photochemical oxidation processes for degradation of phosmet on lowbush blueberries (Vaccinium angustifolium)..pdf | Toxicity and biochemical responses induced by phosmet in rainbow trout (iOncorhynchus mykissi)..pdf",10.1021/jp205175p | 10.1021/jf034253y | 10.1111/j.1750-3841.2007.00466.x | 10.1021/jf0616210 | 10.1002/etc.5620200104; 10.1016/0003-2697(79)90738-3; 10.1016/0003-9861(59)90090-6; 10.1016/0006-2952(61)90145-9,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,An efficient catalytic degradation of trichloroethene in a percarbonate system catalyzed by ultra-fine heterogeneous zeolite supported zero valent iron-nickel bimetallic composite..pdf | Elucidating the kinetics and mechanisms of tetramethrin biodegradation by the fungal strain Neocosmospora sp. AF3.pdf | Evaluation of chemical and photochemical oxidation processes for degradation of phosmet on lowbush blueberries (Vaccinium angustifolium)..pdf | Heterogeneous reaction of suspended phosmet particles with NO3 radicals..pdf
Phosphonic acid,Full-text re-download needed,0,Yes,0,96,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",1__Acylamino_alkylphosphonic_Acids_Alkaline_Deacylation_.pdf | _2_Aminobenzothiazole__Methyl_1_1_Bisphosphonic_Acids__Targeting_Matrix_Metallop.pdf | A_Miniaturized_Method_for_Evaluating_the_Dynamic_Gas_Phase_Adsorption_and_Degrad.pdf | A_phosphonate_induced_gene_which_promotes_Penicillium_mediated_bioconversion_of_.pdf
Pinoxaden,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,6,0,"Degradation Characteristics of Pinoxaden by Acinetobacter and Prediction of Related Genes.pdf | Review of the existing maximum residue levels for pinoxaden according to Article 12 of Regulation (EC) No 3962005..pdf | Aryldiones incorporating a [1,4,5]oxadiazepane ring. Part 2 chemistry and biology of the cereal herbicide pinoxaden..pdf",10.21203/rs.3.rs-1375498/v1 | 10.2903/j.efsa.2013; 10.2903/j.efsa.2018.5147; 10.2903/j.efsa.2021.6503; 10.2903/sp.efsa.2019.en-1605 | 10.1002/ps.2204,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"Aryldiones incorporating a [1,4,5]oxadiazepane ring. Part 2 chemistry and biology of the cereal herbicide pinoxaden..pdf | Degradation Characteristics of Pinoxaden by Acinetobacter and Prediction of Related Genes.pdf | Growth Stage of Alopecurus myosuroides Huds. Determines the Efficacy of Pinoxaden.pdf | Mechanism for the inhibition of the carboxyltransferase domain of acetyl-coenzyme A carboxylase by pinoxaden..pdf"
Pirimiphos-Methyl,Full-text re-download needed,0,Yes,0,13,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_Quasi__Binomial_vs__Gaussian_Models_to_Evaluate_Thiamethoxam__Pirimiphos_Methyl.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Characteristics_of_Aflatoxin_B_sub_1__sub__Degradation_by__i_Stenotrophomonas_ac.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf
Prochloraz,Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Degradation_dynamics_and_dissipation_kinetics_of_an_imidazole_fungicide__Prochlo.pdf | Dissipation_and_Dietary_Risk_Assessment_of_Prochloraz_in_Strawberries_under_Gree.pdf | Dissipation_and_Distribution_of_Prochloraz_in_Bananas_and_a_Risk_Assessment_of_I.pdf
Profenofos,Full-text re-download needed,0,Yes,0,24,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Abiotic_Degradation_of_the_Toxin_Simplexin_by_Soil_Collected_from_a__lt_i_gt_Pim.pdf | Aerobic_dichlorvos_degradation_by__i_Pseudomonas_stutzeri__i__smk__complete_path.pdf
Propamocarb,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,11,0,"Analysis of genes and metabolites associated with propamocarb hydrochloride response in tobacco.pdf | Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Expression and functional analysis of the Propamocarb-related gene CsDIR16 in cucumbers..pdf | Overexpression of CsHMGB Alleviates Phytotoxicity and Propamocarb Residues in Cucumber.pdf | Microbial degradation of the carbamate pesticides desmedipham, phenmedipham, promecarb, and propamocarb..pdf",10.1002/agj2.20368; 10.1007/s00128-012-0703-y; 10.1007/s00726-010-0525-3; 10.1007/s11120-012 | 10.1007/s10532-011-9509-6 | 10.1186/s12870-018-1236-2; 10.4236/ajac.2011.228120; 10.5812/bhs.45306 | 10.1007/978-3-319-74057-7_7; 10.1007/BF00386001; 10.1007/bf01415704; 10.1007/s00018-007-7162-3,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"Analysis of genes and metabolites associated with propamocarb hydrochloride response in tobacco.pdf | Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Degradation of propamocarb-hydrochloride in tomatoes, potatoes and cucumber using HPLC-DAD and QuEChERS methodology..pdf | Expression and functional analysis of the Propamocarb-related gene CsDIR16 in cucumbers..pdf"
Propargite,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,4,0,"Biodegradation of propargite by Pseudomonas putida, isolated from tea rhizosphere..pdf | Calculation of pesticide degradation in decaying cotton gin trash..pdf | Setting of maximum residue limits for propargite in citrus fruits and tea..pdf",10.1016/j.jhazmat.2009.09.050 | 10.2903/j.efsa.2007.32r; 10.2903/j.efsa.2011.2087; 10.2903/j.efsa.2013.3350; 10.2903/j.efsa.2018.5193,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"Biodegradation of propargite by Pseudomonas putida, isolated from tea rhizosphere..pdf | Calculation of pesticide degradation in decaying cotton gin trash..pdf | Effect of storage, washing, and cooking on the stability of five pesticides in edible fungi of Agaricus bisporus A degradation kinetic stud.pdf | Setting of maximum residue limits for propargite in citrus fruits and tea..pdf"
Propiconazole,Stepwise pathway integrated,3,Yes,0,18,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_Non_redundant_Function_of_MNS5__A_Class_I_α_1__2_Mannosidase__in_the_Regulatio.pdf | Biodegradation_mechanism_of_1H_1_2_4_triazole_by_a_newly_isolated_strain_Shinell.pdf | Biodegradation_of_propiconazole_by_newly_isolated_Burkholderia_sp__strain_BBK_9_.pdf | Degradation_Dynamics_and_Residue_Analysis_of_Four_Propiconazole_Stereoisomers_in.pdf
Propoxur,PDF folder missing,0,No,0,0,,,,Full-text paper PDFs or reliable source files with degradation products/intermediates.,Create or locate the pesticide PDF folder before pathway curation.,
Propylene oxide,Full-text re-download needed,0,Yes,0,172,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_Core_Shell__Nanocomposites_as_Photocatalysts_for_the_Degradation_of_the_Water_P.pdf | _i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Garcinia_cambogia__i__attenuates_adipogenesis_by_affecting_CEBPB_and_SQSTM1_p.pdf | A_multiple_Kirkendall_strategy_for_converting_nanosized_zero_valent_iron_to_high.pdf
Prothioconazole,Full-text re-download needed,0,Yes,0,9,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf | Degradation_pathway_of_triazole_fungicides_and_synchronous_removal_of_transforma.pdf | Effect_of_novel_botanical_synergist_on_the_effectiveness_and_residue_behavior_of.pdf | Effective_and_Sustained_Control_of_Soil_Borne_Plant_Diseases_by_Biodegradable_Po.pdf
Pymetrozine,Stepwise pathway integrated,4,Yes,16,0,"A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1..pdf | Isolation and Characterization of the Pymetrozine-Degrading Strain Pseudomonas sp. BYT-1..pdf | Residue Behavior of Methoxyfenozide and Pymetrozine in Chinese Cabbage and Their Health Risk Assessment..pdf | Kinetic study of the degradation of the insecticide pymetrozine in a vegetable-field ecosystem..pdf | Degradation of cyprodinil, fludioxonil, cyfluthrin and pymetrozine on lettuce after different application methods..pdf",10.1111/1462-2920.15557 | 10.1021/acs.jafc.8b06155; 10.1038/d41586-018-04987-4 | 10.3390/foods11192995; 10.3390/foods11192995/s1 | 10.1016/j.jhazmat.2008.08.020 | 10.1080/03601230701549271,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,"A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1..pdf | Acute Toxicity of an Emerging Insecticide Pymetrozine to Procambarus clarkii Associated with Rice-Crayfish Culture (RCIS)..pdf | Degradation of cyprodinil, fludioxonil, cyfluthrin and pymetrozine on lettuce after different application methods..pdf | Development and evaluation of pymetrozine controlled-release formulation to control paddy planthopper..pdf"
Pyraclostrobin,Stepwise pathway integrated,1,Yes,0,26,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,An_Overview_of_Strobilurin_Fungicide_Degradation_Current_Status_and_Future_Persp.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Detoxification_Esterase_StrH_Initiates_Strobilurin_Fungicide_Degradation_in__i_H.pdf | Dissipation__Residue_and_Human_Dietary_Risk_Assessment_of_Pyraclostrobin_and_Cya.pdf
Pyrimethanil,Full-text re-download needed,0,Yes,0,16,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Biomarkers_of_Exposure_to_Pyrimethanil_After_Controlled_Human_Experiments_.pdf | Changes_to_Soil_Microbiome_Resulting_from_Synergetic_Effects_of_Fungistatic_Comp.pdf | Conditions_Optimizing_and_Application_of_Laccase_mediator_System__LMS__for_the_L.pdf
Quinclorac,Full-text re-download needed,0,Yes,0,13,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Biodegradation_of_diuron_by_an_endophytic_fungus_Neurospora_intermedia_DP8_1_iso.pdf | Combined_effects_of_micropollutants_and_their_degradation_on_prokaryotic_communi.pdf | Complementary_RNA_Sequencing_Based_Transcriptomics_and_iTRAQ_Proteomics_Reveal_t.pdf
Quintozene,Stepwise pathway integrated,10,Yes,6,0,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Abiotic degradation of pentachloronitrobenzene by Fe(III) reactions on goethite and iron oxide nanoparticles..pdf | Application of gamma irradiation in ginseng for both photodegradation of pesticide pentachloronitrobenzene and microbial decontamination..pdf | Bioaccumulation and degradation of pentachloronitrobenzene in Medicago sativa..pdf | Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19..pdf
Spirodiclofen,Stepwise pathway integrated,1,Yes,7,0,"In vitro metabolism of tebuconazole, flurtamone, fenhexamid, metalaxyl-M and spirodiclofen in Cannabis sativa L. (hemp) callus cultures..pdf | Review of the existing maximum residue levels for spirodiclofen according to Article 12 of Regulation (EC) No 3962005..pdf | Enhanced degradation of spiro-insecticides and their leacher enol derivatives in soil by solarization and biosolarization techniques..pdf | Terminal Residues and Risk Assessment of Spiromesifen and Spirodiclofen in Tomato Fruits..pdf | Dissipation Kinetics and Risk Assessment of Spirodiclofen and Tebufenpyrad in iAster scaberi Thunb..pdf",10.1002/ps.6307; 10.1002/ps.6575; 10.1787/9789264061835-en | 10.2903/j.efsa.2010.1560; 10.2903/j.efsa.2015; 10.2903/j.efsa.2016.4457; 10.2903/j.efsa.2018.5147 | 10.1007/s11356-017-8589-1 | 10.3390/plants12071493 | 10.3390/foods12020242,candidate_gene/enzyme_plus_pathway | candidate_pathway/metabolite,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,"Dissipation Kinetics and Risk Assessment of Spirodiclofen and Tebufenpyrad in iAster scaberi Thunb..pdf | Enhanced degradation of spiro-insecticides and their leacher enol derivatives in soil by solarization and biosolarization techniques..pdf | In vitro metabolism of tebuconazole, flurtamone, fenhexamid, metalaxyl-M and spirodiclofen in Cannabis sativa L. (hemp) callus cultures..pdf | Pesticide degradation capacity of a novel strain belonging toiSerratia sarumaniii(GBS19) with its genomic profile.pdf"
Sulfoxaflor,Stepwise pathway integrated,1,Yes,0,18,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Differences_in_the_Sublethal_Effects_of_Sulfoxaflor_and_Acetamiprid_on_the__i_Ap.pdf | Efficient_Biodegradation_of_the_Neonicotinoid_Insecticide_Flonicamid_by_Pseudami.pdf | Impact_of_Sulfoxaflor_on_Brown_Marmorated_Stink_Bug__Developmental_and_Reproduct.pdf
Tebuconazole,Full-text re-download needed,0,Yes,0,24,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Attenuation_of_toxicity_and_occurrence_of_degradation_products_of_the_fungicide_.pdf | Degradation_dynamics_and_dissipation_kinetics_of_an_imidazole_fungicide__Prochlo.pdf | Degradation_of_Pesticides_Using_Semiconducting_and_Tetrapyrrolic_Macrocyclic_Pho.pdf | Dissipation_Kinetics_and_Risk_Assessment_of_Diniconazole__Dinotefuran__Metconazo.pdf
Teflubenzuron,Stepwise pathway integrated,4,Yes,6,0,Transformation of the insecticide teflubenzuron by microorganisms..pdf | Identification of molecular interactions of pesticides with keratinase for their potential to inhibit keratin biodegradation..pdf | Persistence and Stability of Teflubenzuron and Diflubenzuron When Associated to Organic Particles in Marine Sediment..pdf | Chitin Synthesis and Degradation in Crustaceans A Genomic View and Application..pdf,10.1081/PFC-100106185 | 10.1007/s40203-024-00229-w | 10.1007/s00128-015-1707-1 | 10.3390/md19030153,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A broad-spectrum analysis of the effects of teflubenzuron exposure on the biochemical activities and microbial community structure of soil..pdf | Chitin Synthesis and Degradation in Crustaceans A Genomic View and Application..pdf | Environmental Impact of Xenobiotic Aromatic Compounds and Their Biodegradation Potential in iComamonas testosteronii..pdf | Identification of molecular interactions of pesticides with keratinase for their potential to inhibit keratin biodegradation..pdf
Thiabendazole,Full-text re-download needed,0,Yes,0,24,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Characterization_of_Acetamiprid_Biodegradation_by_the_Microbial_Consortium_ACE_3.pdf | Comparative_Degradation_of_a_Thiazole_Pollutant_by_an_Advanced_Oxidation_Process.pdf | Cyclins_A_and_B_associate_with_chromatin_and_the_polar_regions_of_spindles__resp.pdf | Efficient_Degradation_of_2_Mercaptobenzothiazole_and_Other_Emerging_Pollutants_b.pdf
Thiacloprid,Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Myzus_persicae__i__Management_through_Combined_Use_of_Beneficial_Insects_and_.pdf | A_Mechanistic_Approach_Toward_Enhanced_Remediation_Potential_of_Thiacloprid_by_Z.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Application_of_Fe_MOFs_in_Photodegradation_and_Removal_of_Air_and_Water_Pollutan.pdf
Thiamethoxam,Stepwise pathway integrated,2,Yes,150,0,"Influence of the neonicotinoid insecticide thiamethoxam on soil bacterial community composition and metabolic function..pdf | Reduced bacterial network complexity in agricultural soils after application of the neonicotinoid insecticide thiamethoxam..pdf | Biodegradation of the neonicotinoid insecticide thiamethoxam by the nitrogen-fixing and plant-growth-promoting rhizobacterium Ensifer adhaerens strain TMX-23..pdf | Effects on soil microbial community after exposure to neonicotinoid insecticides thiamethoxam and dinotefuran..pdf | Assessing the toxicity of thiamethoxam, in natural LUFA 2.2 soil, through three generations of Folsomia candida..pdf",10.1016/j.jhazmat.2020.124275 | 10.1016/j.envpol.2021.116540 | 10.1007/s00253-012-4638-3 | 10.1016/j.scitotenv.2020.138328 | 10.1007/s10646-017; 10.1007/s10646-017-1765-8; 10.1007/s10646-018-1922-8; 10.1007/s11356-014,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,"(Quasi)-Binomial vs. Gaussian Models to Evaluate Thiamethoxam, Pirimiphos-Methyl, Alpha-Cypermethrin and Deltamethrin on Different Types of Storage Bag Materials Against Ephestia kuehniella Zeller (Lepidoptera Pyralidae) an.pdf | A BaTiO3WS2 composite for piezo-photocatalytic.pdf | A common neonicotinoid pesticide, thiamethoxam, alters honey bee activity, motor functions, and movement to light..pdf | A common neonicotinoid pesticide, thiamethoxam, impairs honey bee flight ability..pdf"
Thiophanate-Methyl,Stepwise pathway integrated,3,Yes,17,0,Substrate sterilization with thiophanate-methyl and its biodegradation to carbendazim in oyster mushroom (Pleurotus ostreatus var. florida)..pdf | Self-assembled thiophanate-methylstar polycation complex prevents plant cell-wall penetration and fungal carbon utilization during cotton infection by Verticillium dahliae..pdf | Characterization of the ultraviolet-visible photoproducts of thiophanate-methyl using high performance liquid chromatography coupled with high resolution tandem mass spectrometry-Detection in grapes and tomatoes..pdf | Peer review of the pesticide risk assessment of the active substance thiophanate-methyl..pdf | Simultaneous determination of thiophanate-methyl and its metabolite carbendazim in tea using isotope dilution ultra performance liquid chromatography-tandem mass spectrometry..pdf,10.1002/fsn3.328; 10.1002/ps.759; 10.1007/s11356-019-07050-5; 10.1016/j.sjbs.2016 | 10.1016/j.ijbiomac.2023.124354 | 10.1016/j.chroma.2016.02; 10.1016/j.chroma.2016.02.078 | 10.1016/j.foodcont.2014.03.003; 10.2903/j.efsa.2008.622; 10.2903/j.efsa.2009.1438; 10.2903/j.efsa.2010 | 10.1007/s00216-013-6901-6; 10.1093/chromsci/bmt165,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A Novel Cu2OZnO@PET Composite Membrane for the Photocatalytic Degradation of Carbendazim.pdf | Biodegradation kinetics of the benzimidazole fungicide thiophanate-methyl by bacteria isolated from loamy sand soil..pdf | Biodegradation of carbendazim by a potent novel Chryseobacterium sp. JAS14 and plant growth promoting Aeromonas caviae JAS15 with subsequent toxicity analysis.pdf | Changed degradation behavior of pesticides when present in mixtures..pdf
Triazophos,Stepwise pathway integrated,5,Yes,44,0,"Cloning, expression and mutation of a triazophos hydrolase gene from Burkholderia sp. SZL-1..pdf | Identification of the biochemical degradation pathway of triazophos and its intermediate in Diaphorobacter sp. TPD-1.pdf | Isolation, identification and characterization of a novel triazophos-degrading Bacillus sp. (TAP-1)..pdf | Minute-Speed Biodegradation of Organophosphorus Insecticides by Cupriavidus nantongensis X1T.pdf | An alkaline phosphatase from Bacillus amyloliquefaciens YP6 of new application in biodegradation of five broad-spectrum organophosphorus pesticides..pdf",10.1007/s00284-010-9746-7; 10.1007/s00284-010-9859-z | 10.1016/j.micres.2011.10.004 | 10.1021/acs.jafc.9b06157 | 10.1002/jobm.201500336; 10.1007/BF02932098; 10.1007/s00253-010-2807-9; 10.1007/s10529-007-9444-0,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,"A Comprehensive Review of Multifunctional Nanozymes for Degradation and Detection of Organophosphorus Pesticides in the Environment..pdf | A review on WO3 photocatalysis used for wastewater treatment and pesticide degradation.pdf | A sensitive fluorometric bio-barcodes immunoassay for detection of triazophos residue in agricultural products and water samples by iterative cycles of DNA-RNA hybridization and dissociation of fluorophores by Ribonuclease.pdf | Adsorption and degradation of triazophos, chlorpyrifos and their main hydrolytic metabolites in paddy soil from Chaohu Lake, China..pdf"
Trifloxystrobin,Stepwise pathway integrated,1,Yes,24,0,"Modification of the existing maximum residue levels and setting of import tolerances for trifloxystrobin in various crops (2).pdf | Potential aquatic environmental risks of trifloxystrobin Enhancement of virus susceptibility in zebrafish through initiation of autophagy..pdf | Trifloxystrobin-induced mitophagy through mitochondrial damage in human skin keratinocytes..pdf | Simultaneous determination of trifloxystrobin and trifloxystrobin acid residue in rice and soil by a modified quick, easy, cheap, effective, rugged, and safe method using ultra high performance liquid chromatography with ta.pdf | Effect of intermittent water flow on biodegradation of organic micropollutants in the hyporheic zone..pdf",10.3390/foods14101745; 10.3390/foods14101745/s1 | 10.24272/j.issn.2095-8137.2021.056 | 10.1002/jssc.201400157 | 10.1002/1099-1646(200009/10; 10.1002/elsc.200620130; 10.1007/s00044-020-02507-6; 10.1007/s00253-004,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,An Overview of Strobilurin Fungicide DegradationCurrent Status and Future Perspective..pdf | Determination of trifloxystrobin and its metabolites in Hawaii soils by ASE-LC-MSMS.pdf | Detoxification Esterase StrH Initiates Strobilurin Fungicide Degradation in iHyphomicrobiumi sp. Strain DY-1..pdf | Effect of intermittent water flow on biodegradation of organic micropollutants in the hyporheic zone..pdf
Vinclozolin,Stepwise pathway integrated,6,Yes,29,0,"Effect of Pesticide Vinclozolin Toxicity Exposure on Cardiac Oxidative Stress and Myocardial Damage..pdf | Chronic Exposure to Endocrine Disruptor Vinclozolin Leads to Lung Damage via Nrf2-Nf-kb Pathway Alterations..pdf | Microbial biodegradation and toxicity of vinclozolin and its toxic metabolite 3,5-dichloroaniline..pdf | Vinclozolin alters the expression of hormonal and stress genes in the midge Chironomus riparius..pdf | Chemical and biological transformation of the fungicide vinclozolin..pdf",10.3390/toxics11060473 | 10.3390/ijms231911320; 10.3390/ijms231911320/s1 | 10.1016/j.aquatox.2016.03.001,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Alterations in the developing testis transcriptome following embryonic vinclozolin exposure..pdf | Bacterial degradation of monocyclic aromatic amines..pdf | Biodegradation of propiconazole by newly isolated Burkholderia sp. strain BBK_9..pdf | Chemical and biological transformation of the fungicide vinclozolin..pdf
