pmid,doi,year,title,journal,authors,publication_types,abstract,manual_review_status
42201260,10.1021/acs.jafc.5c12350,2026,Novel Insights into Quinoline-Based Oxime Ether Derivatives with,Journal of agricultural and food chemistry,Yang J; Yang L; Chen W; Yang X; Chen Z; Li M; Wu Y; Long Z,Journal Article,"Numerous bioactive oxime ethers are utilized as pharmaceuticals and agrochemicals. However, the correlations among C═N-O bond E/Z isomerization, biological activity, and molecular targets of such compounds remain poorly elucidated. Herein, we constructed 54 novel quinoline-based oxime ether derivatives and illustrated their differential target-binding behavior of E/Z-isomers toward the putative target cytochrome bc1. E-isomer A23 exhibited the most potent activity against Colletotrichum sublineola with an EC50 value of 0.68 μg/mL, markedly higher than that of its Z-isomer (4.12 μg/mL). It also exerted stronger inhibitory effects on cytochrome bc1 with an IC50 of 16.6 μg/mL relative to B23 (26.9 μg/mL), which further disturbed mitochondrial function, thereby inducing ROS accumulation and cell membrane damage. A23 showed high protective (86.9%) and curative (80.7%) effects with low toxicity. This study reveals great potential of novel quinoline oxime ethers for fungal control and provides a new perspective for understanding how molecular configuration differences influence biological activity.",Needs manual review before database use
42199896,10.1016/j.fochx.2026.103916,2026,X-ray irradiation simultaneously mitigates chlorfenapyr and azoxystrobin residues and preserves postharvest quality of cowpea.,Food chemistry: X,Guo K; Wang M; Chen C; Ren J; Li X; Yue X; Li X; Zhang S,Journal Article,"Cowpea faces a residue-quality trade off during postharvest storage, requiring effective pesticide dissipation without accelerating quality deterioration. This study evaluated the potential of X ray irradiation (0-350 Gy) to simultaneously dissipate chlorfenapyr and azoxystrobin residues, and preserve the postharvest quality of cowpea over 8 days. Pesticide dissipation was dose-dependent, influenced by pesticide properties and matrix effects, with azoxystrobin showing greater apparent degradability than chlorfenapyr. Transformation products were identified, with degradation pathways involving dealkylation, hydroxylation, hydrolysis or ether cleavage, and reductive dehalogenation, while ECOSAR screening indicated most products had potentially lower aquatic toxicity for most products. Irradiated samples also showed lower microbial growth and lipid peroxidation, together with higher antioxidant enzyme activities, phenolics, and flavonoids, suggesting an adaptive stress response. The optimal 300-350 Gy irradiation range balances residue reduction and short-term storage quality, providing a sustainable technical and theoretical foundation for safe postharvest commercial handling of fresh cowpea.",Needs manual review before database use
42198611,10.3390/pathogens15050484,2026,Efficacy of Certain Monoterpenes as Antifungal Agents and Abiotic Elicitors Against Chocolate Spot Disease of Faba Beans Caused by,"Pathogens (Basel, Switzerland)",Derbalah A; Mohamed A; El-Gammal N; Hussain W; Hamza A; Alhusays A; Omar A; Alhewairini S,Journal Article,"Chocolate spot, caused by the ascomycete fungus Botrytis fabae, is a devastating foliar disease and a major constraint on the quality and yield of faba beans (Vicia faba). Monoterpenes, such as carvone, cineole, and linalool, are often considered natural-identical alternatives to synthetic chemicals. Therefore, this study was carried out to assess the antifungal activity of some eco-friendly control agents (carvone, cineole, and linalool) against B. fabae, the causative agent of chocolate spot disease in faba beans, through growth inhibition assays in vitro. Furthermore, the efficacy of the tested monoterpenes for reducing the severity of chocolate spot disease in faba beans was evaluated under field conditions. Moreover, these eco-friendly control agents activate plant defense enzymes (phenylalanine ammonia-lyase, polyphenol oxidase, and peroxidase) as a self-defense mechanism against pathogen attacks of faba bean plants were investigated. Moreover, the impact of the tested monoterpenes on growth and yield characters of faba bean was evaluated. The results indicated a significant decrease in B. fabae growth following a treatment with the tested compounds compared to untreated controls. In field trials, treated faba bean plants exhibited a notable reduction in disease severity. Additionally, the application of monoterpenes enhanced the activity of defense enzymes (phenylalanine ammonia-lyase, polyphenol oxidase, and peroxidase), which are integral to plant defense mechanisms. Treatments also resulted in significant improvement growth and yield characters of faba bean. These findings suggest that the tested monoterpenes could serve as a control strategy for managing B. fabae, offering an environmentally sustainable alternative to conventional fungicides.",Needs manual review before database use
42198531,10.3390/toxics14050405,2026,Assessment of Paraquat Resistance and Degradation Potential in,Toxics,Morales-Olivares MI; Castrejón-Godínez ML; Mussali-Galante P; Tovar-Sánchez E; Rodríguez A,Journal Article,"Paraquat is an herbicide widely used to control weeds in various crops. Due to its use in large quantities, its dispersal into the environment is frequent, leading to contamination and negative health effects on non-target organisms because of its high toxicity and persistence in soils. Therefore, it is necessary to develop sustainable strategies to remediate sites contaminated by this compound. Bacterial remediation is a promising alternative for removing paraquat from the environment; however, the metabolic pathways used by bacteria for its degradation have not yet been precisely described. In this context, it is essential to characterize bacterial species capable of resisting and degrading paraquat, as well as to elucidate the molecular mechanisms involved in these processes. The objective of this work was to evaluate the paraquat resistance and degradation potential of the bacterial strain Caballeronia zhejiangensis CEIB S4-3, and to identify genes with a possible role in the resistance and degradation of this herbicide by analyzing the strain's genome. The results of this research showed that, in solid medium, C. zhejiangensis CEIB S4-3 can withstand concentrations of up to 200 mg/L of paraquat supplemented as a commercial formulation (Gramoxone®) and 400 mg/L of analytical-grade paraquat. In tryptic soy broth, the strain grew in the presence of both the commercial formulation and analytical-grade paraquat at concentrations up to 15 mg/L, whereas in mineral salts medium, supplemented with paraquat or its commercial formulation as the sole nutrient source, the strain survived exposure to paraquat at the same concentrations. Furthermore, the bacterial strain removed 40.8% of the paraquat supplemented in the culture medium at a concentration of 12 mg/L within 48 h. Finally, genomic analysis revealed the presence of genes related to paraquat resistance mechanisms and encoding enzymes involved in the degradation of this herbicide. These results position C. zhejiangensis CEIB S4-3 as a promising candidate for developing remediation alternatives for sites contaminated with this herbicide.",Needs manual review before database use
42197550,10.3390/microorganisms14051166,2026,Rhizosphere Microbial Community and Metagenomic Annotation Responses in a,Microorganisms,Zhang S; Li G; Zhu E; Zhao Y; Yang X; Huang S; Zheng Z,Journal Article,"Rhizosphere microorganisms play central roles in nutrient cycling and contaminant transformation in sediment-associated freshwater systems, yet their responses to newer pesticides remain insufficiently characterized. In this study, a 28-day Vallisneria natans-rhizosphere sediment microcosm was used to compare the effects of trifluenfuronate and fluopyram at nominal concentrations of 0.01, 0.1, and 1 mg L-1. Bacterial community composition was assessed using 16S rRNA gene sequencing, and shotgun metagenomic data were used to evaluate relative functional annotation patterns. Plant physiological traits and rhizosphere sediment enzyme activities were measured as ecological context for interpreting microorganism-associated responses. Fluopyram, particularly at 1 mg L-1, produced clearer ordination-level shifts in rhizosphere bacterial community composition than trifluenfuronate, although pairwise treatment separation was not statistically resolved after multiple-testing correction. Annotation-based metagenomic profiles also differed between the two pesticides: stronger exposure was associated with reduced relative signals for several xenobiotic-, transport-, and regulation-related annotations, while high-dose fluopyram showed a methane-metabolism-related annotation signal and high-dose trifluenfuronate showed relative enrichment of secondary-metabolism-related annotations. These microbial and annotation-profile responses coincided with stronger inhibition of V. natans growth and greater suppression of rhizosphere sediment enzyme activities under fluopyram exposure. Overall, fluopyram induced more consistent microorganism-associated response patterns than trifluenfuronate in the tested rooted macrophyte-sediment microcosm. The results highlight the sensitivity of rhizosphere microbial communities and metagenomic annotation profiles to pesticide exposure in sediment-associated freshwater systems.",Needs manual review before database use
42191310,10.1016/j.aca.2026.345606,2026,Duplex DNase-powered RNA walker for multiplex fluorescent detection of trace pesticide residues in tea samples.,Analytica chimica acta,Guo F; Zhou W; Li X,Journal Article,"BACKGROUND: The bipyridine herbicide paraquat (PQ) and the benzimidazole fungicide carbendazim (CBZ) play a key role in weed and fungus control on farmlands to elevate crop output. Yet, excessive deployment of these chemicals risks leaving residues in the food chain, constituting a grave danger to public health. The presence of multiple pesticide residues often elevates the risk of severe toxicity. Since existing detection techniques mostly target single pesticide residue and cannot fully assess the toxic impacts of both, developing new methods capable of simultaneously detecting PQ and CBZ residues is highly desirable. RESULTS: To address this, we present a Duplex DNase-assisted RNA walker for multiplex fluorescent detection of PQ and CBZ. High-affinity binding of targets to their aptamers displaces ssDNA from magnetic beads. The released ssDNA hybridizes with free T7 promoter templates to reconstitute split promoter sequences. Subsequently, T7 RNA polymerase-driven transcription amplifies short RNA strands, which hybridize with fluorophore-labeled reporter DNA on gold nanoparticles to form heteroduplexes. Duplex-specific DNase selectively cleaves the DNA within these heteroduplexes, releasing fluorophores and recycling RNA to achieve an efficient walking mechanism. This platform enables highly sensitive detection with limits of 2.52 nM for PQ and 3.50 nM for CBZ, alongside a broad linear range (3.89 nM ∼ 7.78 μM for PQ, and 5.23 nM ∼ 10.46 μM for CBZ). It demonstrates good selectivity against common interferents and successfully achieves accurate simultaneous detection of PQ and CBZ in tea samples. SIGNIFICANCE AND NOVELTY: The synergistic combination of Duplex DNase and T7 RNA polymerase-driven transcription significantly enhances the system's sensitivity and accuracy through efficient signal amplification. Consequently, this developed approach serves as a robust tool for environmental monitoring and food safety evaluation. It holds great promise for safeguarding ecosystem integrity and public health by facilitating the precise and simultaneous detection of hazardous pesticide residues.",Needs manual review before database use
42190836,10.1016/j.envpol.2026.128424,2026,Unraveling the alkali tolerance of microcystinase A within alkaline algal bloom scenarios.,"Environmental pollution (Barking, Essex : 1987)",Zhang W; Shao L; Xiang X; Cheng C; Wu Y; Kou X; Yu J; Xiong Z,Journal Article,"Microcystinase A (MlrA) is pivotal in degrading microcystins (MCs) and inhibiting Microcystis growth, holding promise for controlling harmful Microcystis blooms (HMBs). However, the high alkalinity of water from HMBs hinders MlrA's practical application. Thus, understanding the alkaline tolerance of MlrA is crucial. While previous studies on alkaline adaptation in MC degradation have primarily focused on host microbial systems, the intrinsic alkaline tolerance of MlrA enzyme itself remains underexplored. This paper delves into the alkaline tolerance and Microcystis inhibition differences of MlrA derived from alkali-tolerant and non-alkali-tolarant microorganisms. We characterized MlrA from Sphingopyxis sp. C-1 (MlrA-1) and Sphingomonas sp. ACM 3962 (MlrA-3962), analyzed their pH tolerance, and elucidated the potential alkali-tolreance mechanism. Furthermore, we investigated the disparities in the inhibitory effects on Microcystis associated with the alkaline tolerance of MlrA-1 and MlrA-3962, and elucidated the underlying inhibition mechanisms. This research conducts a thorough and comparative analysis of the alkaline tolerance of MlrA and its inhibitory effects on Microcystis. The findings lay a solid foundation and open up new avenues for the subsequent modification and practical application of MlrA.",Needs manual review before database use
42183903,10.1007/s11274-026-05024-7,2026,Functional amyloid BE-AM1 mediates xenobiotic adaptation in Solibacillus silvestris AM1.,World journal of microbiology & biotechnology,Markande AR,Journal Article,"Estuarine ecosystems are complex pollutant mixtures where hydrocarbons and pesticides coexist- resulting in microbial adaptation mechanisms with hitherto less studied cross-pollutant interactions. The present study elucidates the adaptive response of Solibacillus silvestris AM1, isolated from Vellar estuary focusing on regulation of an amphipathic functional amyloid protein, BE-AM1 (a bioemulsifier) under mixed xenobiotic stress (aromatic hydrocarbons and water-soluble pesticides) exhibiting ecological implications. The bacterial strain exhibited strong tolerance to benzene, naphthalene and acephate with maintained or enhanced BE-AM1 synthesis, while trichlorobenzene and cypermethrin significantly suppressed production. Acephate induction resulted in increased BE-AM1 production, enhanced cell-surface hydrophobicity, auto-aggregation and biofilm formation. The results thus suggest pesticide exposure-induced mechanisms of amyloid BE-AM1 mediated modulation of pollutant bioavailability, microbial adhesion and potential co-metabolic degradation within microbial consortia. S. silvestris AM1 is known for hydrocarbon and pesticide tolerance, supported by BE-AM1 mediated surface-activity in surface-wetting and alteration of physicochemical interfaces. Thus, amphipathic amyloid BE-AM1 reported previously for surface-active (bio-emulsifier) can act as mediator influencing estuarine pollutant partitioning and microbial interactions in micro-niches. The present study provides evidence for pesticide-induced regulation of functional amyloid production contributing to adaptive responses in S. silvestris AM1.",Needs manual review before database use
42176614,10.1016/j.enzmictec.2026.110903,2026,Mediator-assisted tetracycline transformation and dye decolorization by a thermostable recombinant laccase from Yersinia enterocolitica.,Enzyme and microbial technology,Özdemir Fİ; Şükür G; Yiğit BM; Tülek A,Journal Article,"Pharmaceutical residues and synthetic dyes are among the most persistent environmental pollutants, creating an increasing demand for efficient and sustainable remediation strategies. In this study, a recombinant bacterial laccase from Yersinia enterocolitica 8081 (YeLac) was heterologously expressed in Escherichia coli BL21, purified, and biochemically characterized. The purified enzyme exhibited maximal catalytic activity at 65 °C and displayed substrate-dependent pH behavior, with optimal oxidation of ABTS at pH 3.5 and SGZ at pH 7.5. YeLac also showed broad pH stability, retaining more than 80% activity over a wide pH range after 24 h. Kinetic analysis revealed catalytic efficiencies (kcat/Km) of 0.58 µM⁻¹ s⁻¹ for ABTS and 1.38 µM⁻¹ s⁻¹ for SGZ. Beyond model substrate oxidation, YeLac was evaluated not only for pollutant transformation but also for its impact on biological activity. In synthetic dye decolorization assays, 1 U of YeLac achieved the highest removal for Rhodamine 6 G (up to 95%), while Nile Red and Malachite Green also showed notable decolorization after 24 h. The enzyme catalyzed tetracycline transformation, a frequently detected antibiotic contaminant. LC-MS/MS analysis confirmed that, in the presence of ABTS as a redox mediator, 1 U of YeLac completely transformed 10 mg L⁻¹ tetracycline at 65 °C. Importantly, antibacterial activity assays were used to assess whether this transformation corresponded to functional detoxification rather than simple chemical modification. These findings demonstrate that YeLac enables efficient high-temperature tetracycline transformation with reduced antibacterial activity, while also supporting dye decolorization, providing a more relevant evaluation of pollutant removal.",Needs manual review before database use
42173172,10.1016/j.neuro.2026.103468,2026,Early postnatal exposure to permethrin and deltamethrin mixtures induces sex-specific hippocampal neurobehavioral and neurochemical alterations in adulthood.,Neurotoxicology,Ben Slimene S; Boukholda K; Ammar R; Aman C; Allain AE; De Deurwaerdère P; Boudawara O; Chagraoui A,Journal Article,"Pyrethroid insecticides, including deltamethrin and permethrin, are known for their individual toxic effects; however, evidence regarding their combined toxicity during early developmental stages remains limited. The present study aimed to investigate the neurotoxic effects of co-exposure to deltamethrin and permethrin in lactating rats, focusing on emotional and cognitive behaviors, as well as cholinergic and monoaminergic neurotransmission in their progeny at adulthood (5 months of age). Dams were orally administered deltamethrin (1.35 mg/kg/day) and permethrin (34 mg/kg/day), either individually or in combination, from postnatal day (PND) 7 to PND 21. Our results demonstrated that co-exposure of lactating females to deltamethrin and permethrin induced behavioral alterations in their offspring, including impaired locomotor activity, anxiety-like behavior, and learning and memory deficits, with sex-specific effects. Furthermore, these toxicants triggered oxidative stress in the hippocampus, as indicated by elevated levels of malondialdehyde, nitric oxide, and advanced oxidation protein products, along with impaired enzymatic and non-enzymatic antioxidant defenses. Early postnatal exposure also caused sex-dependent modifications in monoamine concentrations across multiple brain regions. Mechanistically, molecular alterations of the cholinergic system were observed in the hippocampus of both male and female rats, as evidenced by downregulation of AChE, mAChR, and nAChR gene expression. These molecular changes were further confirmed by histological analyses. In conclusion, our findings demonstrate that exposure of lactating females to deltamethrin and permethrin, individually or in combination, induces sex-dependent, deleterious, and sometimes distinct neurodevelopmental effects in their offspring at PND 150.",Needs manual review before database use
42172827,10.1016/j.jhazmat.2026.142462,2026,Interaction of nanoplastics and atrazine in a hydroponic system: Antagonistic phytotoxicity mediated by plant-microbe crosstalk and root endophytic bacteria restructuring.,Journal of hazardous materials,Xing N; Hu J; Bao G; Nawaz M; Li Y; Chang J; Yi X; Gai M,Journal Article,"Nanoplastics (NPs) and herbicides co-occur in agricultural runoff and aquatic environments, posing significant combined threats that were investigated using a hydroponic model. This study systematically investigated the individual and joint ecotoxicity of polyvinyl chloride (PVC) and polymethyl methacrylate (PMMA) NPs with atrazine (ATZ) on ryegrass using a multi-omics approach. ATZ alone induced the strongest toxicity, elevating oxidative stress, inhibiting growth and photosynthesis, and causing mesophyll damage, while also activating antioxidant defenses. In contrast, combined exposure to NPs and ATZ exhibited antagonistic effects, reducing reactive oxygen species (ROS) levels and enhancing antioxidant enzyme activities. Catalase (CAT) activity in PVC + ATZ and PMMA + ATZ groups increased by 1.53- and 1.19-fold compared to ATZ alone. Integrated Biomarker Response ranked toxicity as: ATZ > PVC + ATZ ≈ PMMA + ATZ > PVC > PMMA > CK. Transcriptomics revealed that co-exposure modulated brassinosteroid (BR) and abscisic acid (ABA) signaling, synergistically activating phenylpropanoid biosynthesis and glutathione metabolism. Microbial analysis indicated ATZ-driven restructuring of the root endophytic bacteria, with core genera (e.g., Sphingobium) correlated to plant antioxidant responses. This multi-dimensional study demonstrates that NPs and ATZ interact antagonistically, providing key insights for ecological risk assessment and the management of aquatic systems.",Needs manual review before database use
42172023,10.1021/acs.jafc.6c03732,2026,Resveratrol Analog ResA1 Targeting MoYpk1 Exhibits Broad-Spectrum Antifungal Activity against Rice Blast.,Journal of agricultural and food chemistry,Lv H; Wu H; Li L; Shen Z; Yan J; Bao J; Cai Y; Asif N,Journal Article,"Rice blast, caused by Magnaporthe oryzae, is a devastating disease that severely threatens global rice production. The rapid emergence of fungicide resistance and environmental concerns necessitates new molecular targets and effective antifungal agents. Here, we identified MoYpk1, an AGC kinase, as a key regulator of M. oryzae pathogenesis and a novel fungicide target. Leveraging the 3D structure of MoYpk1-KD, we performed a structure-based virtual screening of a natural metabolite library and identified resveratrol as an antifungal inhibitor. Furthermore, we developed a resveratrol derivative, resveratrol analog 1 (ResA1), which exhibits significantly enhanced antifungal activity by specifically targeting E381, a previously unrecognized active site of MoYpk1. Importantly, ResA1 displays broad-spectrum antifungal activity against diverse plant pathogenic fungi while being safe for rice and humans. Our work not only elucidates the key role of MoYpk1 in M. oryzae virulence but also validates it as a promising target for the development of sustainable plant-protection strategies.",Needs manual review before database use
42169303,10.1016/j.foodres.2026.119341,2026,"Understanding a novel circular Bacteriocin with potent activity against Bacillus cereus, its biofilms, and spores for food preservation.","Food research international (Ottawa, Ont.)",Gao M; Liu S; Li F; Geng C; Yang C; Li F; Zeng H; Zhao D,Journal Article,"Bacillus cereus is a widespread foodborne and spore-forming pathogen of significant food safety concern. Here, we characterized toyoncin WJY28, a novel circular bacteriocin from Bacillus toyonensis WJY28. It showed potent anti-B. cereus activity with MIC values of 0.39-0.78 μM, 2-8-fold stronger than nisin A, and selectively targeted pathogens without harming probiotics. It acted via concentration-dependent membrane disruption: bacteriostatic at low concentrations and bactericidal at high concentrations. Toyoncin WJY28 inhibited biofilm formation, killed cells within mature biofilms, and blocked spore outgrowth without affecting germination. It exhibited excellent stability under pasteurization and pH conditions, and displayed no obvious hemolysis or cytotoxicity. Using a skim milk model, 1.56-3.13 μM toyoncin WJY28 completely eliminated B. cereus vegetative cells and spores within 15 days, highlighting its potential to maintain food quality. Thus, toyoncin WJY28 represents a promising candidate as a natural preservative for controlling B. cereus in food systems.",Needs manual review before database use
42167379,10.1016/j.biortech.2026.134927,2026,Engineering a gut synthetic microbial community to enhance protein bioconversion from organic wastes by black soldier fly larvae.,Bioresource technology,Yu Y; Yu M; Huang C; Zhang J; Wang B; Zhao Z; Cai M; Zheng L,Journal Article,"Black soldier fly larvae (BSFL) are efficient bioconverters of diverse organic wastes into sustainable alternative protein resources. However, the interactive mechanisms between the core gut microbiota and its host that govern efficient protein degradation and synthesis remain elusive. This study employed multi-omics and synthetic microbial communities (SynCom) in germ-free models to examine microbiota-associated protein conversion under controlled conditions. We identified the bacteria Bacillus and Lactobacillus and the yeast Issatchenkia functionally relevant taxa associated with improved host protein conversion and amino-acid metabolic responses under the tested gnotobiotic conditions. Bacillus showed direct proteolytic activity, whereas Lactobacillus and Issatchenkia were associated with improved protein conversion performance in the tested SynCom. Among the tested inoculation schemes, a tripartite SynCom comprising these taxa showed the highest protein conversion performance and was associated with distinct spatiotemporal distribution patterns along the gut pH gradient, increasing final larval protein content by 63%. The host aldehyde dehydrogenase (ALDH) was identified as a candidate host node, associated with microbiota-responsive branched-chain amino acids, tryptophan metabolism and the host's Target of Rapamycin (TOR) related signaling. Thus, function-guided SynCom recapitulates selected functional features associated with the native microbiota in a tractable gnotobiotic system. Furthermore, when applied to chicken manure and kitchen waste, the SynCom-BSFL system showed improvements in selected performance metrics, providing preliminary proof-of-concept for future evaluation in more complex waste-treatment settings.",Needs manual review before database use
42162456,10.1007/s10661-026-15435-6,2026,Comprehensive assessment of soil health and pesticide transformation products in agricultural systems.,Environmental monitoring and assessment,Grijalva-López JA; Trejo-Carrizalez I; Cruz-Narváez Y; Cervantes-González E,Journal Article,"Soils are essential for food production and environmental sustainability, yet agricultural practices can modify their physicochemical and biological properties and favor the accumulation of pesticide residues and transformation products. This study assessed agricultural soils from the Altiplano Potosino (Mexico) using an integrated approach that combined physicochemical characterization, enzymatic activity profiling, targeted multiresidue pesticide analysis, and high-resolution metabolomics. Four agricultural soils (SF, SI, LA, and EH) and one reference potting soil (M) were analyzed. Soil properties included pH, electrical conductivity, organic matter, cation exchange capacity, and nutrient content. Enzymatic activities associated with C, N, P, and S cycles (β-glucosidase, urease, leucine aminopeptidase, phosphatases, and arylsulfatase) were measured as indicators of functional soil health. Targeted GC-MS/MS and LC-MS/MS were used to screen for 430 pesticides, while suspect and nontarget high-resolution mass spectrometry was applied to detect potential transformation products. Parent pesticides were detected only in SF and SI; LA and EH showed no active ingredients. However, metabolomics revealed diverse pesticide-related metabolites in all soils, including LA and EH, indicating historical contamination and ongoing degradation. The detection of 4,4'-DDE in SI confirmed legacy DDT inputs. Transformation products of dimethoate, fluopyram, acetamiprid, and deltamethrin reflected different degradation stages. The potting soil (M) showed the highest enzymatic activities, whereas SI ranked highest among agricultural soils, consistent with greater nutrient availability and microbial activity. Overall, the absence of parent compounds did not indicate contaminant-free soils. Integrating soil indicators, enzymatic activities, and metabolomics provides a robust framework to evaluate soil health, legacy contamination, and degradation dynamics, with potential applications in improving soil monitoring programs and supporting evidence-based environmental management and policy decisions.",Needs manual review before database use
42161891,10.1093/plphys/kiag285,2026,Establishment of a versatile virus-based system for elucidating herbicide resistance in Galium aparine.,Plant physiology,Liu Y; Shi K; Zhang M; Wei J; Feng M; Dayan FE; Tao X; Feng Z,Journal Article,"Herbicide resistance challenges sustainable weed management in crop fields. However, the lack of gene manipulation tools for weeds hinders studies of herbicide resistance evolution and regulation. Here, we identified that tobacco mosaic virus (TMV) can systemically infect Galium aparine, a noxious broadleaf weed common in wheat and rapeseed fields, among 13 broadleaf weeds. The TMV-based expression system can be used to elucidate herbicide resistance in G. aparine. We demonstrated that virus-based expression of BAR, ALS, and its site-directed mutagenized form in G. aparine plants can impart herbicide resistance. To expand the application of this system in metabolic resistance studies, 10 upregulated P450 genes in the tribenuron-methyl-resistant G. aparine population plants were identified. Expression of these P450 genes in G. aparine via this system enhanced tribenuron-methyl resistance in G. aparine plants. Additionally, we confirmed Eleusine indica CYP81A104 functions in herbicide resistance through heterologous expression in G. aparine plants, suggesting that this system can be used to investigate the roles of genes from other weed species. The TMV vector-based assay system enabled the functional validation of weed genes within 2 months, which is shorter than the time required in other heterologous expression systems (ie, stable expression of weed genes in rice or Arabidopsis). Thus, this virus-based system provides insights into target-site and/or metabolic-based resistance mechanisms to herbicides in G. aparine and possibly in other weed species.",Needs manual review before database use
42160103,10.1002/smll.73851,2026,Smart Incorporation of Fluorescent Carbon Dots With Photosynthesis-Inhibiting Herbicide for Promotion of Sustainable Weed Management.,"Small (Weinheim an der Bergstrasse, Germany)",Xiao J; Zhang X; Huang Y; Yan W; Guo Q; Liang Y; Cai M; Chen B,Journal Article,"The practical efficacy of herbicides in inhibiting the photosynthetic pathway of weeds is often compromised by the limited utilization of solar energy, making their performance highly susceptible to fluctuating light conditions in diverse agricultural environments. Here, by heating a mixture of citric acid (CA), urea (UA), and acifluorfen (ACI, a representative photosynthesis-inhibiting herbicide) under solvent-free conditions at atmospheric pressure, carbon dots-based fluorescent nano-assembly (ACI@CU CDs) was constructed through non-covalent interactions. The CU CDs in the nano-assembly functioned as a supplementary light source, in situ converting the ultraviolet portion of sunlight into visible wavelengths to provide protoporphyrin IX (PpIX) with additional excitation light. Under different light intensities, the results from both greenhouse and field experiments showed that the herbicidal activities of ACI@CU CDs against various weeds were significantly higher than those of ACI. The safety evaluation of ACI@CU CDs, conducted on soybean and Vicia faba, indicated negligible risk to non-target plants. In addition, the fluorescent nano-assembly could reduce the leaching potential of ACI in soils and exert minimal influence on soil enzyme activity as well as microbial diversity. Overall, these findings demonstrate a feasible and promising strategy for enhancing the weed control efficiency and mitigating the environmental impact of photosynthesis-inhibiting herbicides.",Needs manual review before database use
42159394,10.1128/jvi.02204-25,2026,Enhanced virulence of Autographa californica multiple nucleopolyhedrovirus in,Journal of virology,Jin W; Guo L; Tong Y; Shi H; Ganbold U; Kang Q; Meng Q; Zhang J,Journal Article,"Spodoptera frugiperda poses a significant threat as a polyphagous agricultural pest. Autographa californica multiple nucleopolyhedrovirus (AcMNPV), a broad-spectrum baculovirus with established activity against multiple lepidopteran pests, represents an environmentally benign biocontrol candidate. However, its efficacy against S. frugiperda is constrained by limited oral infectivity. Here, serial passaging in S. frugiperda yielded a mutant strain of AcMNPV (AcMNPV-Mut) with significantly enhanced oral infectivity relative to the wild strain AcMNPV (AcMNPV-Wt). Importantly, while both oral infectivity and overall virulence (shortened LT₅₀ and increased mortality) against S. frugiperda were enhanced, the virus maintained its ability to effectively infect and cause disease in other insect hosts, like Helicoverpa armigera. Whole-genome sequencing identified a missense mutation in ac34. Functional characterization of a recombinant virus harboring this mutation revealed that the ac34 variant contributes to virulence augmentation through dual pathways: elevated budded viruses (BVs) production facilitating secondary infection, and upregulated late and very late gene expression, which improves occlusion-derived virus (ODV) embedding within occlusion bodies (OBs), and may lead to an increase in OB size, contributing to a higher viral load per particle, and thereby enhancing primary infectivity. The ac34 mutation enhances primary and secondary infection, promoting virulence evolution and providing a molecular target for biopesticide design.IMPORTANCEIn this study, we found that Autographa californica multiple nucleopolyhedrovirus (AcMNPV) undergoes adaptive mutations after serial passages in the semi-permissive host Spodoptera frugiperda, driven by mutation in ac34. These mutations not only significantly increase viral replication within this pest but also improve the packaging and infectivity of viral particles. This coordinated optimization allows the virus to achieve higher effective doses in a short time, synergistically enhancing its control efficiency against S. frugiperda. Importantly, the mutation does not compromise the virus's pathogenicity toward its original permissive hosts, underscoring its potential utility in single-application strategies for integrated pest management. These findings provide new molecular insights for designing efficient and broadly applicable biocontrol agents, contributing to more sustainable management of agricultural pests and reduced reliance on chemical pesticides.",Needs manual review before database use
42156183,10.1021/acs.jafc.5c17985,2026,Mechanism of Chitosan Oligosaccharides in Inhibiting,Journal of agricultural and food chemistry,Deng Z; Luo X; Ou X; Gao C; Hu W; Li C; Yu J; Zhang Y,Journal Article,"Chitosan oligosaccharides (COSs) show broad-spectrum antimicrobial activity, yet their mechanism against Phytophthora infestans, the causal agent of potato late blight, remains unclear. This study evaluated the inhibitory effects, mechanisms, and field performance of COS against P. infestans. Results showed that COS significantly inhibited mycelial growth in three strains (T30-4, 3928A, 88069), with IC50 values of 0.10, 0.11, and 0.11 g/L, and at 0.5 g/L, it inhibited sporangial germination in T30-4. Transcriptomics revealed 727 differentially expressed genes (DEGs) enriched in fatty acid metabolism, membrane biogenesis, and transmembrane transport. Combined application with sublethal stress (high salt, high temperature, and high oxygen) or chemical fungicides (infinito and mancozeb) enhanced antioomycete efficacy. COS also induced systemic resistance in potatoes without phytotoxicity. Field trials confirmed that COS combined with infinito increased the yield by 31% and reduced disease severity by 35%. These findings support COS as a promising biocontrol agent for sustainable management of potato late blight.",Needs manual review before database use
