pesticide_folder,total_pdf_named_files,pdf_header_files,html_placeholder_files,unknown_or_unreadable_files,sample_pdf_header_files,sample_placeholder_files
Imazethapyr,6,0,6,0,,Adsorption_and_degradation_of_imazapic_in_soils_under_different_environmental_co.pdf | Enantioselective_phytotoxicity_of_the_herbicide_imazethapyr_on_the_response_of_t.pdf | Ethylene_Biosynthesis_Inhibition_Combined_with_Cyanide_Degradation_Confer_Resist.pdf | Herbicidal_Ionic_Liquids__A_Promising_Future_for_Old_Herbicides__Review_on_Synth.pdf | Phenotypic_Characteristics_and_Occurrence_Basis_of_Leaf_Necrotic_Spots_in_Respon.pdf
Imidacloprid,76,1,75,0,Imidacloprid_10.1186_s13568-019-0942-y.pdf,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Ability_of__i_Lactobacillus_brevis__i__47f_to_Alleviate_the_Toxic_Effects_of_Imi.pdf | Absorption_and_Distribution_of_Imidacloprid_and_Its_Metabolites_in_Goldfish___i_.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf | Aminated_reduced_graphene_oxide_CuFe_sub_2__sub_O_sub_4__sub__nanohybride_adsorb.pdf
Indoxacarb,19,0,19,0,,A_systemic_study_of_indoxacarb_resistance_in_Spodoptera_litura_revealed_complex_.pdf | Behavioral_and_Transcriptomic_Analyses_in_the_Indoxacarb_Response_of_a_Non_Targe.pdf | Characterization_of_Indoxacarb_Resistance_in_the_Fall_Armyworm__Selection__Inher.pdf | Characterization_of_Spodoptera_littoralis__Lepidoptera__Noctuidae__resistance_to.pdf | Comprehensive_Detoxification_Mechanism_Assessment_of_Red_Imported_Fire_Ant___i_S.pdf
Iprodione,18,0,18,0,,An_Amidase_Gene___i_ipaH__i___Is_Responsible_for_the_Initial_Step_in_the_Iprodio.pdf | Biodegradation_of_Iprodione_and_Chlorpyrifos_Using_an_Immobilized_Bacterial_Cons.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | Carbamate_C_N_Hydrolase_Gene__i_ameH__i__Responsible_for_the_Detoxification_Step.pdf | Cytological_and_Gene_Profile_Expression_Analysis_Reveals_Modification_in_Metabol.pdf
Isofetamid,3,3,0,0,"Modification of the existing maximum residue levels for isofetamid in certain salad plants..pdf | Modification of the existing maximum residue levels for isofetamid in raspberries, blackberries and dewberries..pdf | Modification of the existing maximum residue levels for isofetamid in tomatoes, peppers, aubergines, okra and cucurbits with edible peel..pdf",
Isoflucypram,2,2,0,0,"Isoflucypram, the first representative of a new succinate dehydrogenase inhibitor fungicide subclass Its chemical discovery and unusual binding mode..pdf | Peer review of the pesticide risk assessment of the active substance isoflucypram..pdf",
Isoprothiolane,5,5,0,0,"Development of a UPLC-MSMS method for pesticide analysis in paddy water and evaluation of anodic TiO&lt;sub&gt;2&lt;sub&gt; nanostructured films for pesticide photodegradation and antimicrobial applications..pdf | Experimental Study on Photodegradation and Leaching of Typical Pesticides in Greenhouse Soil from Shouguang, Shandong Province, Northern China.pdf | In vitro pesticide degradation in turfgrass soil incubated under open and sealed conditions..pdf | Oxidation of isoprothiolane by ozone and chlorine Reaction kinetics and mechanism..pdf | Typical pesticides diffuse loading and degradation pattern differences under the impacts of climate and land-use variations..pdf",
Isopyrazam,5,5,0,0,Fungicide isopyrazam degradative response toward extrinsically added fungal and bacterial strains..pdf | Review of the existing maximum residue levels for isopyrazam according to Article 12 of Regulation (EC) No 3962005..pdf | Simultaneous Determination of the Residues of Isopyrazam Isomers and Their Metabolites in Soil and Tomatoes by Ultraperformance Liquid Chromatography-Tandem Mass Spectrometry..pdf | Surface water mineralization of isopyrazam according to OECD 309 observations on implementation of the new data requirement within agrochemical regulation..pdf | The behavior of isopyrazam in aquatic ecosystems implementation of a tiered investigation..pdf,
Isoxaflutole,3,0,3,0,,Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf | Comparison_of_transcriptome_responses_to_glyphosate__isoxaflutole__quizalofop_p_.pdf | Ecotoxicological_Evaluation_of_Safener_and_Antimicrobial_Additives_in_Isoxafluto.pdf
Kresoxim-Methyl,16,16,0,0,"Abiotic transformation of kresoxim-methyl in aquatic environments Structure elucidation of transformation products by LC-HRMS and toxicity assessment..pdf | An Overview of Strobilurin Fungicide DegradationCurrent Status and Future Perspective..pdf | Degradation and metabolic profiling for benzene kresoxim-methyl using carbon-14 tracing..pdf | Degradation of Kresoxim-Methyl in Water Impact of Varying pH, Temperature, Light and Atmospheric CO2 Level..pdf | Degradation of Pesticides Using Semiconducting and Tetrapyrrolic Macrocyclic Photocatalysts-A Concise Review..pdf",
Lindane,35,0,35,0,,A_Review_of_Microalgae__and_Cyanobacteria_Based_Biodegradation_of_Organic_Pollut.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Adsorption_of_lindane__γ_hexachlorocyclohexane__on_nickel_modified_graphitic_car.pdf | Advanced_photocatalytic_materials_based_degradation_of_micropollutants_and_their.pdf | Biodegradation_of_TNT__2_4_6_trinitrotoluene__by_Phanerochaete_chrysosporium_.pdf
Lufenuron,18,18,0,0,Adsorption of Lufenuron 50-EC Pesticide from Aqueous Solution Using Oil Palm Shell-Derived Activated Carbon..pdf | Aerobic Degradation of Clothianidin to 2-Chloro-methyl Thiazole and Methyl 3-(Thiazole-yl) Methyl Guanidine Produced by Pseudomonas stutzerii smk..pdf | Chitin Synthesis and Degradation in Crustaceans A Genomic View and Application..pdf | Comparative transcriptome analysis of lufenuron-resistant and susceptible strains of Spodoptera frugiperda (Lepidoptera Noctuidae)..pdf | Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides..pdf,
Malathion,51,2,49,0,Malathion_10.1007_s10529-013-1195-5.pdf | Malathion_10.1371_journal.pone.0094177.pdf,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Alleviation_of_Malathion_Toxicity_Effect_by__i_Coffea_arabica__i__L__Oil_and__i_.pdf | Analysis_of_EAWAG_BBD_pathway_prediction_system_for_the_identification_of_malath.pdf
Maleic Hydrazide,5,0,5,0,,An_organic_proton_cage_that_is_ultra_resistant_to_hydroxide_promoted_degradation.pdf | Molecular_mechanism_underlying_the_effect_of_maleic_hydrazide_treatment_on_starc.pdf | Peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_maleic_hydr.pdf | Studies_in_the_biochemistry_of_micro_organisms__LXXXVIII_Palitantin__II__Further.pdf | The_Fate_of_maleic_hydrazide_on_tobacco_during_smoking_.pdf
Mandestrobin,5,5,0,0,"An Overview of Strobilurin Fungicide DegradationCurrent Status and Future Perspective..pdf | Degradation of the strobilurin fungicide mandestrobin in illuminated water-sediment systems..pdf | Modification of the existing maximum residue levels for mandestrobin in apricots, cherries, peachesnectarines and plums..pdf | Physiological effects of mandestrobin..pdf | Setting of import tolerances for mandestrobin in strawberries and table and wine grapes..pdf",
Mandipropamid,11,11,0,0,"Effects of Household Processing on Residues of the Chiral Fungicide Mandipropamid in Four Common Vegetables..pdf | Indigenous functional microbial degradation of the chiral fungicide mandipropamid in repeatedly treated soils Preferential changes in the R-enantiomer..pdf | Insights on the isolation, identification, and degradation characteristics of three bacterial strains against mandipropamid and their application potential for polluted soil remediation..pdf | Mandipropamid as a chemical inducer of proximity for in vivo applications..pdf | Modification of the existing maximum residue level for mandipropamid in radish leaves..pdf",
Mefentrifluconazole,4,4,0,0,"Absolute Configuration, Enantioselective Bioactivity, and Degradation of the Novel Chiral Triazole Fungicide Mefentrifluconazole..pdf | Modification and setting of maximum residue levels for mefentrifluconazole in various crops..pdf | Modification of the existing maximum residue levels for mefentrifluconazole in various commodities..pdf | Peer review of the pesticide risk assessment of the active substance BAS 750 F (mefentrifluconazole)..pdf",
Mepiquat Chloride,10,10,0,0,"Carbon remobilization in the stems of upland cotton as affected by mepiquat chloride and plant density.pdf | Mechanism of Mepiquat Chloride Regulating Soybean Response to Drought Stress Revealed by Proteomics..pdf | Mepiquat chloride inhibits soybean growth but improves drought resistance..pdf | Mepiquat chloride promotes cotton lateral root formation by modulating plant hormone homeostasis..pdf | Nitrogen and Mepiquat Chloride Effects on the Production of Nonrank, Irrigated, Short-Season Cotton.pdf",
Meptyldinocap,5,5,0,0,"Analytical method for the determination of meptyldinocap as the 2,4-dinitro-octylphenol metabolite in cucumber and soil using LC-MSMS and a study of the residues in a Chinese cucumber field ecosystem..pdf | Degradation strategies of pesticide residue From chemicals to synthetic biology..pdf | Evaluation of the confirmatory data following the Article 12 MRL review for meptyldinocap (DE-126) and modification of the existing maximum residue levels in table and wine grapes..pdf | Meptyldinocap and azoxystrobin residue behaviors in different ecosystems under open field conditions and distribution on processed cucumber.pdf | Review of the existing maximum residue levels for meptyldinocap (DE-126) according to Article 12 of Regulation (EC) No 3962005..pdf",
Mesotrione,25,0,25,0,,Adsorption_and_degradation_of_imazapic_in_soils_under_different_environmental_co.pdf | Aquatic_Macrophytes_in_the_Remediation_of_Atrazine_in_Water__A_Study_on_Herbicid.pdf | Atrazine__triketone_herbicides__and_their_degradation_products_in_sediment__soil.pdf | Bacillus_megaterium_strains_derived_from_water_and_soil_exhibit_differential_res.pdf | Benzothiazole_heterogeneous_photodegradation_in_nano_α_Fe_sub_2__sub_O_sub_3__su.pdf
Metaflumizone,5,5,0,0,"Degradation of metaflumizone in rice, water and soil under field conditions..pdf | Degradation of metaflumizone in soil impact of varying moisture, light, temperature, atmospheric CO2 level, soil type and soil sterilization..pdf | Degradation of sex pheromone and plant volatile components by an antennal glutathione S-transferase in the oriental fruit moth,Grapholita molesta Busck (Lepidoptera Tortricidae)..pdf | Method validation and residue analysis of methoxyfenozide and metaflumizone in Chinese broccoli under field conditions by liquid chromatography with tandem mass spectrometry..pdf | Persistence of metaflumizone on cabbage (Brassica oleracea Linne) and soil, and its risk assessment.pdf",
Metalaxyl,25,0,25,0,,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Applying_the_Crystalline_Sponge_Method_to_Agrochemicals__Obtaining_X_ray_Structu.pdf | Characterizing_the_Mechanisms_of_Metalaxyl__Bronopol_and_Copper_Sulfate_against_.pdf | Conclusion_on_the_peer_review_of_the_pesticide_risk_assessment_of_the_active_sub.pdf | Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf
Metalaxyl-M,19,0,19,0,,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Applying_the_Crystalline_Sponge_Method_to_Agrochemicals__Obtaining_X_ray_Structu.pdf | Conclusion_on_the_peer_review_of_the_pesticide_risk_assessment_of_the_active_sub.pdf | Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf | Degradation_of_Pesticides_Using_Semiconducting_and_Tetrapyrrolic_Macrocyclic_Pho.pdf
Metconazole,6,6,0,0,"Crystal structure and Hirshfeld surface analysis of the fungicide metconazole..pdf | Dissipation Kinetics and Risk Assessment of Diniconazole, Dinotefuran, Metconazole, and Tebuconazole in iRaphanus sativusi L..pdf | Enantioselective determination of metconazole in multi matrices by high-performance liquid chromatography..pdf | Peer review of the pesticide risk assessment of the active substance metconazole..pdf | Stereoselective study on chiral fungicide metconazole in four kinds of fruits Absolute configuration, SFC-MSMS enantioseparation, degradation and risk assessment..pdf",
Methamidophos,19,0,19,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Aflatoxin_B₁_degradation_by_a_Pseudomonas_strain_.pdf | Biodegradation_of_Uric_Acid_by__i_Bacillus_paramycoides__i__YC02_.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | Comparative_assessment_of_growth_and_biodegradation_potential_of_soil_isolate_in.pdf
Methiocarb,14,14,0,0,"Conserved Metabolic and Evolutionary Themes in Microbial Degradation of Carbamate Pesticides..pdf | Current Approaches to and Future Perspectives on Methomyl Degradation in Contaminated SoilWater Environments..pdf | Degradation of Pesticide Residues in Water, Soil, and Food Products via Cold Plasma Technology..pdf | Degradation of methiocarb by monochloramine in water treatment kinetics and pathways..pdf | Determination of methiocarb and its degradation products, methiocarb sulfoxide and methiocarb sulfone, in bananas using QuEChERS extraction..pdf",
Methomyl,31,0,31,0,,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | An_outbreak_of_food_borne_illness_due_to_methomyl_pesticide_intoxication_in_Kore.pdf | Applying_molecular_oxygen_for_organic_pollutant_degradation__Strategies__mechani.pdf | Beneficial_effects_of_folic_acid_on_the_kidneys_and_testes_of_adult_albino_rats_.pdf | Biodegradation_of_Conventional_and_Emerging_Pollutants_.pdf
Methoprene,16,0,16,0,,Assessing_Insect_Growth_Regulator_Resistance_Using_Bioassays__A_Systematic_Revie.pdf | Combination_of_Methoprene_and_Controlled_Aeration_to_Manage_Insects_in_Stored_Wh.pdf | Crucial_Role_of_Juvenile_Hormone_Receptor_Components_Methoprene_Tolerant_and_Tai.pdf | Development_of_a_HPLC_tandem_MS_method_for_the_analysis_of_the_larvicides_methop.pdf | Drosophila_melanogaster_Methoprene_tolerant__Met__gene_homologs_from_three_mosqu.pdf
Methoxyfenozide,14,14,0,0,Characterization of the fate and distribution of methoxyfenozide in a water-plant-fish-sediment microcosm using a multimedia fugacity model..pdf | Degradation of seven pesticides and two metabolites before and during aquifer storage transfer and recovery operation..pdf | Determination of Methoxyfenozide Residues in Water and Soil by Liquid Chromatography Evaluation of its Environmental Fate Under Laboratory Conditions..pdf | Environmental fate and safety analysis of methoxyfenozide application to control litchi and longan pests..pdf | Field applications of zein as a precise nanoscale delivery system for methoxyfenozide..pdf,
Metrafenone,4,4,0,0,Aqueous photodegradation of the benzophenone fungicide metrafenone Carbon-bromine bond cleavage mechanism..pdf | Effect of two anti-fungal treatments (metrafenone and boscalid plus kresoxim-methyl) applied to vines on the color and phenol profile of different red wines..pdf | Modelling the isothermal degradation kinetics of metrafenone and mepanipyrim in a grape juice analog..pdf | Peer review of the pesticide risk assessment of the active substance metrafenone..pdf,
Myclobutanil,3,0,3,0,,Dissipation__Processing_Factors_and_Dietary_Exposure_Assessment_of_Myclobutanil_.pdf | Review_of_the_existing_maximum_residue_levels_for_myclobutanil_according_to_Arti.pdf | TiO_lt_sub_gt_2_lt__sub_gt__LaFeO_lt_sub_gt_3_lt__sub_gt__Composites_for_the_Eff.pdf
Natamycin,21,0,21,0,,Application_of_a_chitosan_coating_as_a_carrier_for_natamycin_to_maintain_the_sto.pdf | Biodegradation_of_Pine_Processionary_Caterpillar_Silk_Is_Mediated_by_Elastase__a.pdf | Determination_of_Natamycin_in_Turkish_Yoghurt_.pdf | Enhanced_Natamycin_production_by_Streptomyces_natalensis_in_shake_flasks_and_sti.pdf | Enhanced_Natamycin_production_in_Streptomyces_gilvosporeus_through_phosphate_tol.pdf
Norflurazon,4,0,4,0,,Autophagy__An_Intracellular_Degradation_Pathway_Regulating_Plant_Survival_and_St.pdf | Establishment_of_an_Arabidopsis_callus_system_to_study_the_interrelations_of_bio.pdf | The_COP9_Signalosome_regulates_seed_germination_by_facilitating_protein_degradat.pdf | The_e3_ubiquitin_ligase_gene_family_in_plants__regulation_by_degradation_.pdf
Novaluron,9,9,0,0,"Area-Wide Elimination of Subterranean Termite Colonies Using a Novaluron Bait..pdf | Development-Disrupting Chitin Synthesis Inhibitor, Novaluron, Reprogramming the Chitin Degradation Mechanism of Red Palm Weevils..pdf | Effects of the insect growth regulator, novaluron on immature alfalfa leafcutting bees, Megachile rotundata..pdf | Field-based evaluation of novaluron EC10 insect growth regulator, a chitin synthesis inhibitor against dengue vector breeding in leaf axils of pineapple plantations in Gampaha District, Sri Lanka..pdf | Physiological and morphological aspects of Aedes aegypti developing larvae effects of the chitin synthesis inhibitor novaluron..pdf",
Omethoate,14,0,14,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Characterization_of_a_novel_amidohydrolase_with_promiscuous_esterase_activity_fr.pdf | Degradation_of_Acephate_and_Its_Intermediate_Methamidophos__Mechanisms_and_Bioch.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf | Dissipation_Pattern__Processing_Factors__and_Safety_Evaluation_for_Dimethoate_an.pdf
Oxamyl,21,0,21,0,,Accelerated_degradation_of_fenamiphos_and_its_metabolites_in_soil_previously_tre.pdf | Carbamate_C_N_Hydrolase_Gene__i_ameH__i__Responsible_for_the_Detoxification_Step.pdf | Coating_Soybean_Seed_with_Oxamyl_for_Control_of_Heterodera_glycines_.pdf | Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf | Control_of_Pratylenchus_penetrans_and_Meloidogyne_hapla_and_Yield_Response_of_Al.pdf
Oxathiapiprolin,11,11,0,0,"A new strategy for durable control of late blight in potato by a single soil application of an oxathiapiprolin mixture in early season..pdf | Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf | Effects of Oxathiapiprolin on the Structure, Diversity and Function of Soil Fungal Community..pdf | Enantioselective Detection, Bioactivity, and Degradation of the Novel Chiral Fungicide Oxathiapiprolin..pdf | Enantioselective aquatic toxicity and degradation in soil of the chiral fungicide oxathiapiprolin..pdf",
Oxydemeton-Methyl,2,2,0,0,Combined photo-Fenton and biological oxidation for pesticide degradation effect of photo-treated intermediates on biodegradation kinetics..pdf | Degradation of a four-pesticide mixture by combined photo-Fenton and biological oxidation..pdf,
Paraquat,197,1,196,0,Paraquat_10.3389_fmicb.2020.02003.pdf,AMP_activated_protein_kinase_deficiency_rescues_paraquat_induced_cardiac_contrac.pdf | A_BaTiO_sub_3__sub__WS_sub_2__sub__composite_for_piezo_photocatalytic_persulfate.pdf | A_Newly_Discovered_Humic_Reducing_Bacterium___i_Pseudomonas_geniculata__i__PQ01_.pdf | A_case_of_severe_paraquat_poisoning_treated_by_continuous_hemodiafiltration_with.pdf | A_drastic_superoxide_dependent_oxidative_stress_is_prerequisite_for_the_down_reg.pdf
Parathion,181,0,181,0,,A_Colorimetric_Sensor_Enabled_with_Heterogeneous_Nanozymes_with_Phosphatase_like.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_one_step_hydrothermal_route_to_fabricate_a_ZnO_nanorod_3D_graphene_aerogel_sen.pdf | Accelerated_degradation_of_fenamiphos_and_its_metabolites_in_soil_previously_tre.pdf
Parathion-Methyl,116,0,116,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | Accelerated_degradation_of_fenamiphos_and_its_metabolites_in_soil_previously_tre.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf
Penconazole,15,15,0,0,"Biodegradation of propiconazole by newly isolated Burkholderia sp. strain BBK_9. (2).pdf | Chiral fungicide penconazole Absolute configuration, bioactivity, toxicity, and stereoselective degradation in apples..pdf | Complexation and stability of the fungicide penconazole in the presence of zinc and copper ions..pdf | Development of a Biomarker for Penconazole A Human Oral Dosing Study and a Survey of UK Residents' Exposure..pdf | Effect of biocompost-amendment on degradation of triazoles fungicides in soil..pdf",
Pendimethalin,32,0,32,0,,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Assessment_of_the_ameliorative_effect_of_curcumin_on_pendimethalin_induced_genet.pdf | Azolla_pinnata_mitigates_pendimethalin_induced_immunotoxicity__oxidative_stress_.pdf | Causation_Analysis_and_Improvement_Strategy_for_Reduced_Pendimethalin_Herbicidal.pdf | Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf
Penthiopyrad,12,12,0,0,"Comparative Biological Half-Life of Penthiopyrad and Tebufenpyrad in Angelica Leaves and Establishment of Pre-Harvest Residue Limits (PHRLs)..pdf | Dissipation, Residue and Dietary Intake Risk Assessment of Penthiopyrad in Eggplants and Its Removal Using Various Household Processing Techniques..pdf | Dissipation, residue, stereoselectivity and dietary risk assessment of penthiopyrad and metabolite PAM on cucumber and tomato in greenhouse and field..pdf | Effect of microorganisms on degradation of fluopyram and tebuconazole in laboratory and field studies..pdf | Influence of Bacillus subtilis and Trichoderma harzianum on Penthiopyrad Degradation under Laboratory and Field Studies.pdf",
Permethrin,70,0,70,0,,Acute_Exposure_to_Permethrin_Modulates_Behavioral_Functions__Redox__and_Bioenerg.pdf | Adult_Mosquito_and_Butterfly_Exposure_to_Permethrin_and_Relative_Risk_Following_.pdf | Bio_efficacy_of_aluminum_phosphide_and_cypermethrin_against_some_physiological_a.pdf | Changes_in_pest_infestation_levels__self_reported_pesticide_use__and_permethrin_.pdf | Characterization_of_a_Pyrethroid_Degrading__i_Pseudomonas_fulva__i__Strain_P31_a.pdf
Phenthoate,6,6,0,0,"Degradation of O, O-dimethyl S-[alpha-(carboethoxy)-benzyl] phosphorodithioate (phenthoate) in soil..pdf | Degradation of malathion and phenthoate by glutathione reductase in wheat germ..pdf | Enantioselective degradation and chiral stability of phenthoate in soil..pdf | Enantioselective determination of phenthoate enantiomers in plant-origin matrices using reversed-phase high-performance liquid chromatography-tandem mass spectrometry..pdf | Fast and precise determination of phenthoate and its enantiomeric ratio in soil by the matrix solid-phase dispersion method and liquid chromatography..pdf",
Phorate,12,0,12,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Biodegradation_of_two_organophosphorus_pesticides_in_whole_corn_silage_as_affect.pdf | Degradation_kinetics_and_physiological_studies_of_organophosphates_degrading_mic.pdf | Degradation_of_Pesticides_Using_Semiconducting_and_Tetrapyrrolic_Macrocyclic_Pho.pdf | Efficiency_of_the_intestinal_bacteria_in_the_degradation_of_the_toxic_pesticide_.pdf
Phosalone,13,13,0,0,"Computational enzymology for degradation of chemical warfare agents promising technologies for remediation processes..pdf | Degradation of phosalone by silver ion catalytic hydrolysis..pdf | Effect of phosalone on testicular tissue and in vitro fertilizing potential..pdf | Effects of phosalone plant pesticide on sperm parameters and sexual hormone levels in Wistar rats An experimental study..pdf | Effects of the benzoxazoid DIMBOA, selected degradation products, and structure-related pesticides on soil organisms..pdf",
Phosmet,17,17,0,0,An efficient catalytic degradation of trichloroethene in a percarbonate system catalyzed by ultra-fine heterogeneous zeolite supported zero valent iron-nickel bimetallic composite..pdf | Elucidating the kinetics and mechanisms of tetramethrin biodegradation by the fungal strain Neocosmospora sp. AF3.pdf | Evaluation of chemical and photochemical oxidation processes for degradation of phosmet on lowbush blueberries (Vaccinium angustifolium)..pdf | Heterogeneous reaction of suspended phosmet particles with NO3 radicals..pdf | Identification of an opd (organophosphate degradation) gene in an Agrobacterium isolate..pdf,
Phosphonic acid,96,0,96,0,,1__Acylamino_alkylphosphonic_Acids_Alkaline_Deacylation_.pdf | A_Miniaturized_Method_for_Evaluating_the_Dynamic_Gas_Phase_Adsorption_and_Degrad.pdf | A_phosphonate_induced_gene_which_promotes_Penicillium_mediated_bioconversion_of_.pdf | Accumulation_of_intermediates_of_the_carbon_phosphorus_lyase_pathway_for_phospho.pdf | Allosteric_regulation_of_phosphonoacetaldehyde_hydrolase_by_n_butylphosphonic_ac.pdf
Picoxystrobin,6,6,0,0,An Overview of Strobilurin Fungicide DegradationCurrent Status and Future Perspective..pdf | Detoxification Esterase StrH Initiates Strobilurin Fungicide Degradation in iHyphomicrobiumi sp. Strain DY-1..pdf | Effects of picoxystrobin and 4-n-nonylphenol on soil microbial community structure and respiration activity..pdf | Kinetics and New Mechanism of Azoxystrobin Biodegradation by an Ochrobactrum anthropi Strain SH14.pdf | Magnitude of picoxystrobin residues in strawberry under Egyptian conditions dissipation pattern and consumer risk assessment..pdf,
Pinoxaden,6,6,0,0,"Aryldiones incorporating a [1,4,5]oxadiazepane ring. Part 2 chemistry and biology of the cereal herbicide pinoxaden..pdf | Degradation Characteristics of Pinoxaden by Acinetobacter and Prediction of Related Genes.pdf | Growth Stage of Alopecurus myosuroides Huds. Determines the Efficacy of Pinoxaden.pdf | Mechanism for the inhibition of the carboxyltransferase domain of acetyl-coenzyme A carboxylase by pinoxaden..pdf | Review of the existing maximum residue levels for pinoxaden according to Article 12 of Regulation (EC) No 3962005..pdf",
Piperonyl Butoxide,21,0,21,0,,A_novel_P450_initiated_biphasic_process_for_sustainable_biodegradation_of_benzo_.pdf | Biodegradation_of_Benzo_a_pyrene_by_a_White_Rot_Fungus__i_Phlebia_acerina__i___S.pdf | Biomarker_development_for_neonicotinoid_exposure_in_soil_under_interaction_with_.pdf | Degradation_of_2_4_dichlorophenoxyacetic_acid__2_4_D__and_2_4_5_trichlorophenoxy.pdf | Degradation_of_diuron_by_Phanerochaete_chrysosporium__role_of_ligninolytic_enzym.pdf
Pirimicarb,8,0,8,0,,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Assessment_of_Sublethal_and_Transgenerational_Effects_of_Pirimicarb_on_the_Wheat.pdf | Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf | Metabolomic_and_proteomic_insights_into_carbaryl_catabolism_by_Burkholderia_sp__.pdf | PEDOT__PSS_AuNPs_Based_Composite_as_Voltammetric_Sensor_for_the_Detection_of_Pir.pdf
Pirimiphos-Methyl,13,0,13,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Characteristics_of_Aflatoxin_B_sub_1__sub__Degradation_by__i_Stenotrophomonas_ac.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Decrease_of_pirimiphos_methyl_and_deltamethrin_residues_in_stored_rice_with_post.pdf | Degradation_of_insecticides_used_for_indoor_spraying_in_malaria_control_and_poss.pdf
Prochloraz,25,0,25,0,,Degradation_dynamics_and_dissipation_kinetics_of_an_imidazole_fungicide__Prochlo.pdf | Dissipation_and_Dietary_Risk_Assessment_of_Prochloraz_in_Strawberries_under_Gree.pdf | Dissipation_and_Distribution_of_Prochloraz_in_Bananas_and_a_Risk_Assessment_of_I.pdf | Enhancing_Photostability_of_Prochloraz_via_Designing_Natural_Acid_Derived_Prochl.pdf | Ethylene_Response_Factor_MaERF012_Modulates_Fruit_Ripening_by_Regulating_Chlorop.pdf
Profenofos,24,0,24,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Abiotic_Degradation_of_the_Toxin_Simplexin_by_Soil_Collected_from_a__lt_i_gt_Pim.pdf | Aerobic_dichlorvos_degradation_by__i_Pseudomonas_stutzeri__i__smk__complete_path.pdf | Application_of_cold_adapted_microbial_agents_in_soil_contaminate_remediation__bi.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf
